,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
10,"We present a novel transition system for dependency parsing, which constructs arcs only between adjacent words but can parse arbitrary non-projective trees by swapping the order of words in the input. Adding the swapping operation changes the time complexity for deterministic parsing from linear to quadratic in the worst case, but empirical estimates based on treebank data show that the expected running time is in fact linear for the range of data attested in the corpora. Evaluation on data from five languages shows state-of-the-art accuracy, with especially good results for the labeled",Non-Projective Dependency Parsing in Expected Linear Time,A Transition System for Dependency Parsing with Treebanks,,A Transition System for Dependency Parsing with Order Swapping,A Transition System for Dependency Parsing with arcs, A Transition System for Dependency Parsing,A Transition System for Dependency Parsing with Word Swapping
11,"This paper provides a binary, token-based classification of German particle verbs (PVs) into literal vs. non-literal usage. A random forest improving standard features (e.g., bagof-words; affective ratings) with PV-specific information and abstraction over common nouns significantly outperforms the majority baseline. In addition, PV-specific classification experiments demonstrate the role of shared particle semantics and semantically related base verbs in PV meaning shifts.",Distinguishing Literal and Non-Literal Usage of German Particle Verbs,Token-Based Classification of German Particle Verbs,A Random Forest-based Classification of Particle Verbs into Literal vs. Non-literal Usage: An Application to,,"Binary, token-based Classification of German Particle Verbs into Literal vs. Non-literal Use", A Binary Classification of German Particle Verbs,A Random Forest Approach to German Particle Verb Classification
12,"We demonstrate that current state-of-the-art approaches to Automated Essay Scoring (AES) are not well-suited to capturing adversarially crafted input of grammatical but incoherent sequences of sentences. We develop a neural model of local coherence that can effectively learn connectedness features between sentences, and propose a framework for integrating and jointly training the local coherence model with a state-of-the-art AES model. We evaluate our approach against a number of baselines and experimentally demonstrate its effectiveness on both the AES task and the task of flagging adversarial input, further contributing to the development of an approach that strengthens the validity of neural essay scoring models.",Neural Automated Essay Scoring and Coherence Modeling for Adversarially Crafted Input,Learning Local Coherence for Automated Essay Scoring,Neural Coherence Modeling for Automated Essay Scoring: A Case Study on Text-Driven Neural Essay,,Local Coherence Models for Automated Essay Scoring., Neural Essay Scoring with Local Coherence,A Neural Local Coherence Model for Automated Essay Scoring
13,"Existing timeline generation systems for complex events consider only information from traditional media, ignoring the rich social context provided by user-generated content that reveals representative public interests or insightful opinions. We instead aim to generate socially-informed timelines that contain both news article summaries and selected user comments. We present an optimization framework designed to balance topical cohesion between the article and comment summaries along with their informativeness and coverage of the event. Automatic evaluations on real-world datasets that cover four complex events show that our system produces more informative timelines than state-of-theart systems. In human evaluation, the associated comment summaries are furthermore rated more insightful than editor’s picks and comments ranked highly by users.",Socially-Informed Timeline Generation for Complex Events,Social Timeline Generation with News Article Summaries and Comments,Generating Social-Informed Timelines for Complex Events: An Optimization Framework for News Article Summarization and Comment Sum,Generating Social-Informed Timeline Generation for Complex Events with Article Summaries and User Comments,, Generating Social-Informed Timelines for Complex Events,Generation of Socially-Informed Timelines for Complex Events
14,"Recent work raises concerns about the use of standard splits to compare natural language processing models. We propose a Bayesian statistical model comparison technique which uses k-fold cross-validation across multiple data sets to estimate the likelihood that one model will outperform the other, or that the two will produce practically equivalent results. We use this technique to rank six English part-of-speech taggers across two data sets and three evaluation metrics.",Is the Best Better? Bayesian Statistical Model Comparison for Natural Language Processing,K-fold Cross-Validation for Bayesian Part-of-Speech Tagging,Bayesian statistical model comparison for part-of-speech taggers using k-folding cross-validation and cross-,,A Bayesian Analysis of Part-of-Speech Tagger, Bayesian Statistical Model Comparison Using Cross-Validation,Bayesian Statistical Model Comparison for Part-of-Speech Tagging
15,"Modelling compositional meaning for sentences using empirical distributional methods has been a challenge for computational linguists. We implement the abstract categorical model of Coecke et al. (2010) using data from the BNC and evaluate it. The implementation is based on unsupervised learning of matrices for relational words and applying them to the vectors of their arguments. The evaluation is based on the word disambiguation task developed by Mitchell and Lapata (2008) for intransitive sentences, and on a similar new experiment designed for transitive sentences. Our model matches the results of its competitors in the first experiment, and betters them in the second. The general improvement in results with increase in syntactic complexity showcases the compositional power of our model.",Experimental Support for a Categorical Compositional Distributional Model of Meaning,An Abstract Categorical Model for Compositional Meaning of Sentences,,Modelling Compositional Meaning for Sentences Using Unsupervised Learning of Word Matrices,Compositional Meaning for Intransitive Sentences with Empirical Distributional Methods, Abstract Categorical Modeling of Compositional Meaning,Modelling Compositional Meaning for Sentences with Unsupervised Learning of Words
16,"In this paper, we present a Chinese event extraction system. We point out a language specific issue in Chinese trigger labeling, and then commit to discussing the contributions of lexical, syntactic and semantic features applied in trigger labeling and argument labeling. As a result, we achieved competitive performance, specifically, F-measure of 59.9 in trigger labeling and F-measure of 43.8 in argument labeling.",Language Specific Issue and Feature Exploration in Chinese Event Extraction,"Chinese Event Extraction Using Lexical, Syntactic and Semantic Features",Chinese Event Extraction Using Language Specific Issues in Trigger Labeling and Argument Labeling: An Empirical Study of Chinese Trigger,"A Chinese Event Extraction System with Lexical, Syntactic and Semantic Features",Chinese Event Extraction System for Chinese Trigger Labeling," Chinese Event Extraction with Lexical, Syntactic and Semantic Features",
17,"We formulate the novel task of automatically updating an existing natural language comment based on changes in the body of code it accompanies. We propose an approach that learns to correlate changes across two distinct language representations, to generate a sequence of edits that are applied to the existing comment to reflect the source code modifications. We train and evaluate our model using a dataset that we collected from commit histories of open-source software projects, with each example consisting of a concurrent update to a method and its corresponding comment. We compare our approach against multiple baselines using both automatic metrics and human evaluation. Results reflect the challenge of this task and that our model outperforms baselines with respect to making edits.",Learning to Update Natural Language Comments Based on Code Changes,Automatic Update of an existing Comment Based on Changes in the Body of Code,Learning to Correlate Language Representations for Automatic Comment Retrieval of Natural Language Comments in Open-Source Software Projections,Automatic Comment Update Based on Source Code Changes,, Automatic Update of Natural Language Commentaries,Automatic Updates to Existing Natural Language Systems
18,"Although users’ preference is semantically reflected in the free-form review texts, this wealth of information was not fully exploited for learning recommender models. Specifically, almost all existing recommendation algorithms only exploit rating scores in order to find users’ preference, but ignore the review texts accompanied with rating information. In this paper, we propose a novel matrix factorization model (called TopicMF) which simultaneously considers the ratings and accompanied review texts. Experimental results on 22 real-world datasets show the superiority of our model over the state-of-the-art models, demonstrating its effectiveness for recommendation tasks.",TopicMF: Simultaneously Exploiting Ratings and Reviews for Recommendation,TopicMF: A Matrix Factorization Model for Recommendation in Review Texts,TopicMF: A Topic Factorization Model for Recommendation in Free-Form Review Texts with High-Rank Ratings and Att,TopicMF: A Matrix Factorization Model for Learning Recommender Models from Free-Form Reviews,TopicMF: A Matrix Factorization Model for Free-form Review Texts,,TopicMF: A Novel Matrix Factorization Model for Recommendation Texts
19,"We consider the multi-agent reinforcement learning setting with imperfect information. The reward function depends on the hidden goals of both agents, so the agents must infer the other players’ goals from their observed behavior in order to maximize their returns. We propose a new approach for learning in these domains: Self Other-Modeling (SOM), in which an agent uses its own policy to predict the other agent’s actions and update its belief of their hidden goal in an online manner. We evaluate this approach on three different tasks and show that the agents are able to learn better policies using their estimate of the other players’ goals, in both cooperative and competitive settings.",Modeling Others using Oneself in Multi-Agent Reinforcement Learning,Self Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information,Self Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information: Self-Predicting Hidden Goal Actions,,Self Other-Modeling for Multi-Agent reinforcement learning with imperfect information, Self Other-Modeling for Multi-Agent Reinforcement Learning,Self- Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information
20,"Previous work introduced transition-based algorithms to form a unified architecture of parsing rhetorical structures (including span, nuclearity and relation), but did not achieve satisfactory performance. In this paper, we propose that transition-based model is more appropriate for parsing the naked discourse tree (i.e., identifying span and nuclearity) due to data sparsity. At the same time, we argue that relation labeling can benefit from naked tree structure and should be treated elaborately with consideration of three kinds of relations including within-sentence, across-sentence and across-paragraph relations. Thus, we design a pipelined two-stage parsing method for generating an RST tree from text. Experimental results show that our method achieves state-of-the-art performance, especially on span and nuclearity identification.",A Two-Stage Parsing Method for Text-Level Discourse Analysis,Pipelined Two-Stage Parsing of Named Discourse Trees,"Transition-based RST Parsing for Span, Nuclearity and Relation Labeling with Nondescourse Tree Structure",Pipeline-based Parsing of Discourse Trees for RST and Relation Labeling,Transition-Based Parsing of Null Discourse Trees, Transition-based Parsing of Discourse Trees,
21,"The weak equivalence of Combinatory Categorial Grammar (CCG) and Tree-Adjoining Grammar (TAG) is a central result of the literature on mildly context-sensitive grammar formalisms. However, the categorial formalism for which this equivalence has been established differs significantly from the versions of CCG that are in use today. In particular, it allows restriction of combinatory rules on a per grammar basis, whereas modern CCG assumes a universal set of rules, isolating all cross-linguistic variation in the lexicon. In this article we investigate the formal significance of this difference. Our main result is that lexicalized versions of the classical CCG formalism are strictly less powerful than TAG.",Lexicalization and Generative Power in CCG,,The Weak Equivalence of Combinatory Categorial Grammar and Tree-Adjoining Grammar: An Empirical,Combinatory Categorial Grammar and Tree-Adjoining Grammar: A Weak Equivalence but an Empir,Combinatory Categorial Grammar and Tree-Adjoining Grammar, Weak Equivalence of CCG and Tree-Adjoining Grammar,Lexicalized versions of the classic CCG formalism are less powerful than TAG
22,"This paper introduces a model of multipleinstance learning applied to the prediction of aspect ratings or judgments of specific properties of an item from usercontributed texts such as product reviews. Each variable-length text is represented by several independent feature vectors; one word vector per sentence or paragraph. For learning from texts with known aspect ratings, the model performs multipleinstance regression (MIR) and assigns importance weights to each of the sentences or paragraphs of a text, uncovering their contribution to the aspect ratings. Next, the model is used to predict aspect ratings in previously unseen texts, demonstrating interpretability and explanatory power for its predictions. We evaluate the model on seven multi-aspect sentiment analysis data sets, improving over four MIR baselines and two strong bag-of-words linear models, namely SVR and Lasso, by more than 10% relative in terms of MSE.",Explaining the Stars: Weighted Multiple-Instance Learning for Aspect-Based Sentiment Analysis,MultipleInstance Learning for Aspect Rating Prediction from Texts with Known Aspects,MultipleInstance Regression for Aspect Ratings and Their Impact on Sentiment Analysis from Texts with Weercontributed Multiple-,Multiple-Instance Learning for Predicting Aspect Ratings from Texts,, Multiple Instance Regression for Aspect Rating Prediction,MultipleInstance Learning for Predicting Aspect Ratings from User-contributed Texts
23,"We present a simple approach for text infilling, the task of predicting missing spans of text at any position in a document. While infilling could enable rich functionality especially for writing assistance tools, more attention has been devoted to language modeling-a special case of infilling where text is predicted at the end of a document. In this paper, we aim to extend the capabilities of language models (LMs) to the more general task of infilling. To this end, we train (or fine tune) off-the-shelf LMs on sequences containing the concatenation of artificially-masked text and the text which was masked. We show that this approach, which we call infilling by language modeling, can enable LMs to infill entire sentences effectively on three different domains: short stories, scientific abstracts, and lyrics. Furthermore, we show that humans have difficulty identifying sentences infilled by our approach as machine-generated in the domain of short stories.",Enabling Language Models to Fill in the Blanks,Text Infilling by Language Modeling,,"Text Infilling by Language Modeling: A Case Study on Short Stories, Scientific Abstracts, and Lyrics",Language Modeling for Infilling Texts, Text Infilling with Language Modeling,Text Infilling by Language Modeling
24,"In this paper, we target at improving the performance of multi-label emotion classification with the help of sentiment classification. Specifically, we propose a new transfer learning architecture to divide the sentence representation into two different feature spaces, which are expected to respectively capture the general sentiment words and the other important emotion-specific words via a dual attention mechanism. Experimental results on two benchmark datasets demonstrate the effectiveness of our proposed method.",Improving Multi-label Emotion Classification via Sentiment Classification with Dual Attention Transfer Network,Transfer Learning for Multi-Label Emotion Classification,Transfer Learning for Multi-label Emotion Classification with a Dual Attention Mechanism via a Dual Neural Network Based on Sentence Represent,Transfer Learning for Multi-label Emotion Classification with the Help of Sentiment Classification,Multi-Label Emotion Classification with Sentiment Classification, Transfer Learning for Multi-label Emotion Classification,
25,"In this paper we study the identification and verification of simple claims about statistical properties, e.g. claims about the population or the inflation rate of a country. We show that this problem is similar to extracting numerical information from text and following recent work, instead of annotating data for each property of interest in order to learn supervised models, we develop a distantly supervised baseline approach using a knowledge base and raw text. In experiments on 16 statistical properties about countries from Freebase we show that our approach identifies simple statistical claims about properties with 60% precision, while it is able to verify these claims without requiring any explicit supervision for either tasks. Furthermore, we evaluate our approach as a statistical property extractor and we show it achieves 0.11 mean absolute percentage error.",Identification and Verification of Simple Claims about Statistical Properties,Automatic Identification and Verification of Simple Claims about Statistical Properties,Identification and Verification of Simple Claims about Statistical Properties Using a Distantly Supervised Baseline Based on Knowledge Base and Raw,Identification and Verification of Simple Statistical Claims without Supervision,Identification and Verification of Simple Statistical Properties about Countries, Identification and Verification of Simple Claims about Statistical Properties,
26,"Even for common NLP tasks, sufficient supervision is not available in many languages - morphological tagging is no exception. In the work presented here, we explore a transfer learning scheme, whereby we train character-level recurrent neural taggers to predict morphological taggings for high-resource languages and low-resource languages together. Learning joint character representations among multiple related languages successfully enables knowledge transfer from the high-resource languages to the low-resource ones.",Cross-lingual Character-Level Neural Morphological Tagging,Character-Level Recurrent Neural Tagging for Morphological Tagging,Learning Character-Level Recurrent Neural Tagging for High-resource Languages and Low-Resource Languages using Transfer Learning in NLP,,Transfer Learning for Morphological Tagging in High-Resource Languages, Learning Joint Character Representations for Morphological Tagging,Transfer Learning for Character-Level Morphological Tagging
27,"Recurrent neural network (RNN) has achieved remarkable performance in text categorization. RNN can model the entire sequence and capture long-term dependencies, but it does not do well in extracting key patterns. In contrast, convolutional neural network (CNN) is good at extracting local and position-invariant features. In this paper, we present a novel model named disconnected recurrent neural network (DRNN), which incorporates position-invariance into RNN. By limiting the distance of information flow in RNN, the hidden state at each time step is restricted to represent words near the current position. The proposed model makes great improvements over RNN and CNN models and achieves the best performance on several benchmark datasets for text categorization.",Disconnected Recurrent Neural Networks for Text Categorization,Connected Recurrent Neural Network for Text Categorization,,Disconnected Recurrent Neural Network for Text Categorization,Disconnected Recurrent Neural Network for Text Categorization, Disconnected Recurrent Neural Network for Text Categorization,Disconnected Recurrent Neural Network for Text Categorization
28,"We prove bounds on the generalization error of convolutional networks. The bounds are in terms of the training loss, the number of parameters, the Lipschitz constant of the loss and the distance from the weights to the initial weights. They are independent of the number of pixels in the input, and the height and width of hidden feature maps. We present experiments using CIFAR-10 with varying hyperparameters of a deep convolutional network, comparing our bounds with practical generalization gaps.",Generalization bounds for deep convolutional neural networks,Bounds on Generalization Error of Convolutional Networks,Bounds on the Generalization Error of Convolutional Networks with Applications to CIFAR-10 Bounds and Hidden Feature Maps,,CIFAR-10 with Hyperparameters of Deep Convolutional Network, Bounds on the Generalization Error of Convolutional Networks,Bounds on the Error of Convolutional Networks
29,"The goal of inverse reinforcement learning is to find a reward function for a Markov decision process, given example traces from its optimal policy. Current IRL techniques generally rely on user-supplied features that form a concise basis for the reward. We present an algorithm that instead constructs reward features from a large collection of component features, by building logical conjunctions of those component features that are relevant to the example policy. Given example traces, the algorithm returns a reward function as well as the constructed features. The reward function can be used to recover a full, deterministic, stationary policy, and the features can be used to transplant the reward function into any novel environment on which the component features are well defined.",Feature Construction for Inverse Reinforcement Learning,Inverse Reinforcement Learning with Component Features.,,Inverse Reinforcement Learning with Component Features.,Inverse Reinforcement Learning with Logical Combinations, Inverse Reinforcement Learning with Logical Conjunctions,Inverse Reinforcement Learning by Constructing Reward Features
30,"We present a novel response generation system that can be trained end to end on large quantities of unstructured Twitter conversations. A neural network architecture is used to address sparsity issues that arise when integrating contextual information into classic statistical models, allowing the system to take into account previous dialog utterances. Our dynamic-context generative models show consistent gains over both context-sensitive and non-context-sensitive Machine Translation and Information Retrieval baselines.",A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,,Dynamic-Context Generative Models for Unstructured Twitter Conversations with Context-sensitive Machine Translation and Information Retrieval Systems,Learning to Generate Responses from Twitter Conversations,Neural Response Generation for Unstructured Twitter Conversations, End-to-End Response Generation with Neural Networks,Dynamic-Context Generative Models for End-to-End Neural Response Generation
31,"Linking pronominal expressions to the correct references requires, in many cases, better analysis of the contextual information and external knowledge. In this paper, we propose a two-layer model for pronoun coreference resolution that leverages both context and external knowledge, where a knowledge attention mechanism is designed to ensure the model leveraging the appropriate source of external knowledge based on different context. Experimental results demonstrate the validity and effectiveness of our model, where it outperforms state-of-the-art models by a large margin.",Incorporating Context and External Knowledge for Pronoun Coreference Resolution,,A Two-Layer Model for Pronoun Coreference Resolution Based on External Knowledge and Contextual Information Leveraging Context and External,A Two-Layer Model for Pronoun Coreference Resolution with Knowledge Attention,A Two-layer Pronoun Coreference Resolution with Knowledge Attention, A Two-Layer Model for Pronominal Expressions,A Two-Layer Model for Pronoun Coreference Resolution with Context and External Knowledge
32,"In this paper, we propose new methods to learn Chinese word representations. Chinese characters are composed of graphical components, which carry rich semantics. It is common for a Chinese learner to comprehend the meaning of a word from these graphical components. As a result, we propose models that enhance word representations by character glyphs. The character glyph features are directly learned from the bitmaps of characters by convolutional auto-encoder(convAE), and the glyph features improve Chinese word representations which are already enhanced by character embeddings. Another contribution in this paper is that we created several evaluation datasets in traditional Chinese and made them public.",Learning Chinese Word Representations From Glyphs Of Characters,Learning Chinese Word Representations by Character G glyphs,,Learning Chinese Word Representations with Character Glyphs,Learning Chinese Word Representations by Character Glyphens, Learning Chinese Word Representations with Character Glyphs,Convolutional Auto-encoder for Chinese Word Representations
33,"Building models for realistic natural language tasks requires dealing with long texts and accounting for complicated structural dependencies. Neural-symbolic representations have emerged as a way to combine the reasoning capabilities of symbolic methods, with the expressiveness of neural networks. However, most of the existing frameworks for combining neural and symbolic representations have been designed for classic relational learning tasks that work over a universe of symbolic entities and relations. In this paper, we present DRaiL, an open-source declarative framework for specifying deep relational models, designed to support a variety of NLP scenarios. Our framework supports easy integration with expressive language encoders, and provides an interface to study the interactions between representation, inference and learning.",Modeling Content and Context with Deep Relational Learning,DRaiL: A Deep Relational Model for Natural Language Processing,DRaiL: An Open-Source Declarative Framework for Deep Relational Modeling with Symbolic and Symbolic Represent,DRaiL: A Deep Relational Modeling Framework for Natural Language Processing,, DRaiL: Deep Relational Models for Natural Language Tasks,DRaiL: An Open-Source Declarative Framework for Combining Symbolic and Neural Models
34,"Abstract Meaning Representation (AMR) research has mostly focused on English. We show that it is possible to use AMR annotations for English as a semantic representation for sentences written in other languages. We exploit an AMR parser for English and parallel corpora to learn AMR parsers for Italian, Spanish, German and Chinese. Qualitative analysis show that the new parsers overcome structural differences between the languages. We further propose a method to evaluate the parsers that does not require gold standard data in the target languages. This method highly correlates with the gold standard evaluation, obtaining a Pearson correlation coefficient of 0.95.",Cross-Lingual Abstract Meaning Representation Parsing,Improving AMR Parsing for English and Parallel Corpora Using AMR Annotations,AMR Parsing for English and Parallel Corpora: A Qualitative Analysis of the Role of AMR Parsers in AM,Learning AMR Parsers for Languages Other than English,, Learning Semantic Parsers for English Using Parallel Corpora,Learning Abstract Meaning Representations for Sentences Written in Other Languages
35,"In this paper, we propose a novel pretraining-based encoder-decoder framework, which can generate the output sequence based on the input sequence in a two-stage manner. For the encoder of our model, we encode the input sequence into context representations using BERT. For the decoder, there are two stages in our model, in the first stage, we use a Transformer-based decoder to generate a draft output sequence. In the second stage, we mask each word of the draft sequence and feed it to BERT, then by combining the input sequence and the draft representation generated by BERT, we use a Transformer-based decoder to predict the refined word for each masked position. To the best of our knowledge, our approach is the first method which applies the BERT into text generation tasks. As the first step in this direction, we evaluate our proposed method on the text summarization task. Experimental results show that our model achieves new state-of-the-art on both CNN/Daily Mail and New York Times datasets.",Pretraining-Based Natural Language Generation for Text Summarization,Pretraining-based Encoder-Decoder for Text Summarization,Pretraining-based Encoder-decoder for Textual Summarization Using Transformer-based Neural Network Representation,,Pretraining-based encoder-decoder framework for text generation, Towards Text Generation with Pretraining-Based Encoders,A Two-Stage Pretraining-Based Transformer-based Sequence Generation Method
