,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
10,Two monolingual parses are better than one (synchronous parse),"We describe a synchronous parsing algorithm that is based on two successive monolingual parses of an input sentence pair. Although the worst-case complexity of this algorithm is and must be O(n) for binary SCFGs, its average-case run-time is far better. We demonstrate that for a number of common synchronous parsing problems, the two-parse algorithm substantially outperforms alternative synchronous parsing strategies, making it efficient enough to be utilized without resorting to a pruned search.",<TITLE>A Two-Parsing Algorithm for Synchronous Parsing Problems<TITLE>A Two-Parsing Algorithm for Synchronous Parsing.<TITLE>A Two-Parsing Algorithm for Synchronous Parsing<TITLE>Monolingual Synchronous Parsing with Two Sentence Pairs<TITLE>Two-parse Synchronous Parsing with Monolingual Parses,<TITLE>A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Parsing and Pruned Search<TITLE>A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Parsing and its Application to<TITLE>A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Dependency Parsing and Pr<TITLE>A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Parsing and Pruned Struct<TITLE>A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Dependency Parsing and the,<TITLE>Efficient Synchronous Parsing with Two Monolingual Parses<TITLE>Efficient Synchronous Parsing with Two Monolingual Parsers<TITLE>Efficient Synchronous Parsing Using Two Monolingual Parsing<TITLE>Efficient Synchronous Parsing with Monolingual Parsing<TITLE>Synchronous Parsing with Monolingual Parsing,<TITLE>A Two-Parse Synchronous Parsing Algorithm for Binary SCFG<TITLE>Two-Parse Synchronous Parsing with Input Sentence Pairs<TITLE>A Two-Parse Synchronous Parsing Algorithm<TITLE>Two-Parse Synchronous Parsing for Binary SCFGs<TITLE>Two-Parse Synchronous Parsing,<TITLE> A Synchronous Parser Based on Two successive Monolingual Parses<TITLE> Monolingual Parsing with Synchronous Parsing Algorithms<TITLE> A Synchronous Parser Based on Two successive Monolingual Parsers<TITLE> Monolingual Parsing with Synchronous Parsing<TITLE> A Synchronous Parser Based on Two successive Monolingual Parsing,<TITLE>Efficient Synchronous Parsing with Two Syntactic Monolingual Parses<TITLE>Synchronous Parsing with Two-Parsed Monolingual Dependencies<TITLE>Synchronous Parsing with Two-Parsed Monolingual Parsers<TITLE>Synchronous Parsing with Two Syntactic Monolingual Parses<TITLE>Two-Parse Synchronous Parsing
11,Semantic Frame Identification with Distributed Word Representations,"We present a novel technique for semantic frame identification using distributed representations of predicates and their syntactic context; this technique leverages automatic syntactic parses and a generic set of word embeddings. Given labeled data annotated with frame-semantic parses, we learn a model that projects the set of word representations for the syntactic context around a predicate to a low dimensional representation. The latter is used for semantic frame identification; with a standard argument identification method inspired by prior work, we achieve state-ofthe-art results on FrameNet-style framesemantic analysis. Additionally, we report strong results on PropBank-style semantic role labeling in comparison to prior work.",<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification using Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and Syntactic Context<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and Syntactic Context,<TITLE>Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context Using Word Embeddings<TITLE>Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context with Word Embeddings<TITLE>Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context Using Word Embedding<TITLE>Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context based on Word Embedd<TITLE>Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context with Word Embedding,<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and Syntactic Contexts<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and Syntactic Contexts<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and Syntactic Context,<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and Their Syntactic Context<TITLE>Semantic Frame Identification using Distributed Representations of Predicates and Their Syntactic Context<TITLE>Semantic Frame Identification using Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification with Distributed Representations of Predicates,<TITLE> Semantic Frame Identification Using Distributional Representations<TITLE> Semantic Frame Identification Using Distributed Representations of Predicates and Their Syntax<TITLE> Semantic Frame Identification Using Distributed Representations<TITLE> Semantic Frame Identification via Distributional Representations<TITLE> Semantic Frame Identification Using Distributed Representations of Predicates,<TITLE>Distributed Representations of Predicates and their Syntactic Context for Semantic Frame Identification<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and their Syntactic Context<TITLE>Distributed Representations of Predicates and Their Syntactic Context for Semantic Frame Identification<TITLE>Semantic Frame Identification with Distributed Representations of Predicates and their Syntactic Context<TITLE>Semantic Frame Identification Using Distributed Representations of Predicates and Their Syntactic Context
12,Similarity Analysis of Contextual Word Representation Models,"This paper investigates contextual word representation models from the lens of similarity analysis. Given a collection of trained models, we measure the similarity of their internal representations and attention. Critically, these models come from vastly different architectures. We use existing and novel similarity measures that aim to gauge the level of localization of information in the deep models, and facilitate the investigation of which design factors affect model similarity, without requiring any external linguistic annotation. The analysis reveals that models within the same family are more similar to one another, as may be expected. Surprisingly, different architectures have rather similar representations, but different individual neurons. We also observed differences in information localization in lower and higher layers and found that higher layers are more affected by fine-tuning on downstream tasks.",<TITLE>Contextual Word Representation Models from Similarity Analysis<TITLE>Contextual Word Representation Models with Similarity Analysis<TITLE>Contextual Word Representation Models with Similarity Measures<TITLE>Contextual Word Representations with Similarity Analysis<TITLE>Similarity in Contextual Word Representation Models,<TITLE>Similarity Analysis of Contextual Word Representations: A Case Study on Information Localization in the Lens of Similarity Analysis.<TITLE>Similarity Analysis of Contextual Word Representations: A Case Study on Information Localization in the Light of Similarity Analysis.<TITLE>Similarity Analysis of Information Localization in Contextual Word Representations: A Case Study on Similarity Analysis and Design Factors for<TITLE>Similarity Analysis of Information Localization in Contextual Word Representations: A Case Study on Similarity Analysis and Design Factors Affect<TITLE>Similarity Analysis of Contextual Word Representations: A Case Study on Information Localization in the Light of Similarity and Domain,<TITLE>Similarity Analysis of Contextual Word Representations in Deep Learning<TITLE>Similarity Analysis of Deep Contextual Word Representations and Attention<TITLE>Similarity Analysis of Deep Contextual Word Representations<TITLE>Similarity Analysis of Deep Contextual Word Representations<TITLE>Similarity Analysis of Contextual Word Representations,<TITLE>Similarity Measures for Contextual Word Representations<TITLE>Similarity Models for Contextual Word Representations<TITLE>Similarity Models for Contextual Word Representation<TITLE>Similarity Analysis for Contextual Word Representations<TITLE>Similarity Analysis in Contextual Word Representations,<TITLE> Contextual Word Representation Models<TITLE> Contextual Word Representations and Attention<TITLE> Contextual Word Representation Models for Similarity Analysis<TITLE> Contextual Word Representation Modeling<TITLE> Contextual Word Representation Modeling with Neural Networks,<TITLE>Comparing Neural Architectures of Contextual Word Representations<TITLE>Comparing Neural Architectures in Contextual Word Representations<TITLE>Comparing Neural Architectures for Contextual Word Representations<TITLE>Similarity Analysis of Contextual Word Representations<TITLE>Similarity Analysis of Contextual Word Representation Models
13,Coupling CCG and Hybrid Logic Dependency Semantics,"Categorial grammar has traditionally used the λ-calculus to represent meaning. We present an alternative, dependency-based perspective on linguistic meaning and situate it in the computational setting. This perspective is formalized in terms of hybrid logic and has a rich yet perspicuous propositional ontology that enables a wide variety of semantic phenomena to be represented in a single meaning formalism. Finally, we show how we can couple this formalization to Combinatory Categorial Grammar to produce interpretations compositionally.",<TITLE>Synthesizing Semantic Phenomena in Categorial Grammar<TITLE>Compositional Semantics in Combinatory Categorial Grammar<TITLE>A Hybrid Logic Approach to Combinatory Categorial Grammar<TITLE>A Hybrid Logic Approach to Combinatory Categorial Grammars<TITLE>A Hybrid Logic for Combinatory Categorial Grammar,<TITLE>A Dependency Perspective on the Combinatory Categorial Grammar: An Application to Interpretation of Linguistic Meaning<TITLE>A Dependency Perspective on the Combinatory Categorial Grammar: An Application to Interpretation and Interpretation of Meaning<TITLE>A Dependency Perspective on the Combinatory Categorial Grammar: An Application to Interpretation and Semantic Parsing<TITLE>A Dependency Perspective on the Combinatory Categorial Grammar: An Application to Interpretation and Semantic Interpretation<TITLE>A Dependency Perspective on the Combinatory Categorial Grammar: An Application to Interpretation of Linguistic Sem,<TITLE>Dependency-Based Categorial Grammar with Hybrid Logic<TITLE>Dependency-Based Categorial Grammar and Hybrid Logic<TITLE>Dependency-Based Categorial Grammar with Hybrid Logic<TITLE>Computational Categorial Grammar and Hybrid Logic<TITLE>Computational Categorial Grammar and Hybrid Logic,<TITLE>Combinatory Categorial Grammar: A Dependency-Based Perspective on Language Meaning<TITLE>Combinatory Categorial Grammar: A Dependency-Based Perspective<TITLE>Combinatory Categorial Grammar for Compositional Interpretation<TITLE>Combinatory Categorial Grammar for Compositional Interpretations<TITLE>Combinatory Categorial Grammar,<TITLE> Compositional Semantics with Hybrid Logic and Situated Inference<TITLE> Compositional Semantics with Hybrid Logic<TITLE> Compositional Semantics with Hybrid Logic and Situating<TITLE> Integrating Logic and Semantics into a Unified Parsing Model<TITLE> Integrating Logic and Semantics into a Unified Parsing Framework,<TITLE>Dependency-based Categorial Grammars<TITLE>Dependency-Based Categorial Grammars<TITLE>Dependency-based Categorial Grammar<TITLE>Dependency-Based Categorial Grammar<TITLE>Hybrid Logic and Combinatory Categorial Grammar
14,+/-EffectWordNet: Sense-level Lexicon Acquisition for Opinion Inference,"Recently, work in NLP was initiated on a type of opinion inference that arises when opinions are expressed toward events which have positive or negative effects on entities (+/-effect events). This paper addresses methods for creating a lexicon of such events, to support such work on opinion inference. Due to significant sense ambiguity, our goal is to develop a sense-level rather than word-level lexicon. To maximize the effectiveness of different types of information, we combine a graph-based method using WordNet1 relations and a standard classifier using gloss information. A hybrid between the two gives the best results. Further, we provide evidence that the model is an effective way to guide manual annotation to find +/-effect senses that are not in the seed set.",<TITLE>A Sense-Level Lexicon for Opinion Inference in NLP<TITLE>A Lexicon of Opinions for Opinion Inference<TITLE>A Sense-Level Lexicon for Opinion Inference<TITLE>A Lexicon of Opinions in NLP<TITLE>A Lexicon of Events for Opinion Inference,<TITLE>A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference on Entities +/-<TITLE>A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference on Entities +-<TITLE>A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference in NLP Models:<TITLE>A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference in NLP Models.<TITLE>A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference in NLP Models using,<TITLE>A Graph-based Lexicon of +/--Effect Events<TITLE>A Graph-based Lexicon for +/--Effect Events<TITLE>A Graph-based Lexicon of +/--effect Events<TITLE>A Graph-based Lexicon of +/-effect Events<TITLE>A Lexicon of +/--Effect Events,<TITLE>A Lexical of Opinion Inferences in NLP<TITLE>Towards a Lexical of Opinion Inference<TITLE>A Lexical of Opinion Inferences for NLP<TITLE>A Lexical of Opinion Inference in NLP<TITLE>A Lexical of Opinion Inference for NLP,<TITLE> A Sense-Level Lexicon for Opinion Inference<TITLE> Semi-supervised Lexicon Induction for Opinion Inference<TITLE> Semi-Supervised Lexicon Induction for Opinion Inference<TITLE> A Sense-Level Lexicon for Opinions about Opinions<TITLE> A Sense-Level Lexicon for Opinions about Event Types,<TITLE>A Sense-Level Lexicon for Opinion Inference<TITLE>Creating a Lexicon for Opinion Inference in NLP<TITLE>Creating a Lexicon for Opinion Inference<TITLE>Creating a Lexicon of Opinion Inference<TITLE>Creating a Lexicon of Effect Events
15,Improving the Impact of Subjectivity Word Sense Disambiguation on Contextual Opinion Analysis,"Subjectivity word sense disambiguation (SWSD) is automatically determining which word instances in a corpus are being used with subjective senses, and which are being used with objective senses. SWSD has been shown to improve the performance of contextual opinion analysis, but only on a small scale and using manually developed integration rules. In this paper, we scale up the integration of SWSD into contextual opinion analysis and still obtain improvements in performance, by successfully gathering data annotated by non-expert annotators. Further, by improving the method for integrating SWSD into contextual opinion analysis, even greater benefits from SWSD are achieved than in previous work. We thus more firmly demonstrate the potential of SWSD to improve contextual opinion analysis.",<TITLE>Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Scaling Up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Improving Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Scale Up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Better Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis,<TITLE>Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on Non-Expert Annotations<TITLE>Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on Non-Expert An<TITLE>Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on the Integration of Subjectivity<TITLE>Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on Non-expert Annotations<TITLE>Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on Non-expert An,<TITLE>Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis<TITLE>Scaling up Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis<TITLE>Scaling up Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis<TITLE>Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis,<TITLE>Integrated Subjectivity Word Sentiment Disambiguation into Contextual Opinion Analysis<TITLE>Integrated Subjectivity Word Sentiment Disambiguation in Contextual Opinion Analysis<TITLE>Integrated Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis<TITLE>Integrated Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis.<TITLE>Integrated Subjectivity Word Sense Disambiguation in Contextual Opinion Analysis,<TITLE> Improving Contextual Opinion Analysis Using Word Sense Disambiguation<TITLE> Enhancing Contextual Opinion Analysis with Word Sense Disambiguation<TITLE> Modeling Subjectivity Word Sense Disambiguation<TITLE> Improving Contextual Opinion Analysis with Word Sense Disambiguation<TITLE> Improving Contextual Opinion Analysis,<TITLE>Scaling up Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis<TITLE>Scaling Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis<TITLE>Improving the Integration of Subjectivity Word Sense Disambiguation into Contextual Opinions<TITLE>Subjectivity Word Sense Disambiguation Improves Contextual Opinion Analysis<TITLE>Improving the Integration of Subjectivity Word Sense Disambiguation into Contextual Opinion
16,Robust Zero-Shot Cross-Domain Slot Filling with Example Values,"Task-oriented dialog systems increasingly rely on deep learning-based slot filling models, usually needing extensive labeled training data for target domains. Often, however, little to no target domain training data may be available, or the training and target domain schemas may be misaligned, as is common for web forms on similar websites. Prior zero-shot slot filling models use slot descriptions to learn concepts, but are not robust to misaligned schemas. We propose utilizing both the slot description and a small number of examples of slot values, which may be easily available, to learn semantic representations of slots which are transferable across domains and robust to misaligned schemas. Our approach outperforms state-of-the-art models on two multi-domain datasets, especially in the low-data setting.",<TITLE>Robust Zero-Shot Slot Filling for Task-Oriented Dialog Systems<TITLE>Learning Semantic Representations of Slot Attributes for Task-Oriented Dialog Systems<TITLE>Learning Semantic Representations of Slot Attributes for Task-Oriented Dialog System<TITLE>Zero-Shot Slot Filling for Task-Oriented Dialog Systems<TITLE>Zero-shot Slot Filling for Task-Oriented Dialog Systems,<TITLE>Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Zero-shot Modeling of Sem<TITLE>Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Zero-Shot Modeling of Sem<TITLE>Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Semantic Representations of Spots<TITLE>Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Semantic Representations of Slots<TITLE>Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Zero-shot Modeling of Sp,<TITLE>Learning Transferable Semantic Representations for Robust Slot Filling in Task-Oriented Dialogs<TITLE>Learning Semantic Representations for Robust Slot Filling in Task-Oriented Dialog Systems<TITLE>Learning Semantic Representations for Robust Slot Filling in Task-Oriented Dialog Systems<TITLE>Learning Semantic Representations for Robust Slot Filling in Task-Oriented Dialogs<TITLE>Learning Semantic Representations for Robust Slot Filling in Task-Oriented Dialogs,<TITLE>Learning Semantic Representations of Slots for Task-oriented Dialogue Systems<TITLE>Learning Semantic Representations of Slots for Task-Oriented Dialog<TITLE>Learning Semantic Representations of Slots for Task-oriented Dialog Systems<TITLE>Slot Representations for Task-Oriented Dialogue Systems<TITLE>Slot Representations for Task-Oriented Dialog Systems,<TITLE> Learning Semantic Representations of Slots<TITLE> Learning Semantic Representations of Slot Filling Models<TITLE> Learning Semantic Representations of Slot Filling<TITLE> Learning Semantic Representations for Slot Filling<TITLE> Learning Semantic Representations of Slot Filling Agents,<TITLE>Learning Semantic Representations of Slot Filling Models for Task-Oriented Dialog Systems<TITLE>Learning Semantic Representations of Slot Filling Models for Task-Oriented Dialog System<TITLE>Learning Semantic Representations of Slot Filling Models for Task-oriented Dialog Systems<TITLE>Learning Robust Slot Filling Representations for Task-Oriented Dialog Systems<TITLE>Learning Robust Slot Filling Representations for Task-Oriented Dialog System
17,A Sense-Topic Model for Word Sense Induction with Unsupervised Data Enrichment,"Word sense induction (WSI) seeks to automatically discover the senses of a word in a corpus via unsupervised methods. We propose a sense-topic model for WSI, which treats sense and topic as two separate latent variables to be inferred jointly. Topics are informed by the entire document, while senses are informed by the local context surrounding the ambiguous word. We also discuss unsupervised ways of enriching the original corpus in order to improve model performance, including using neural word embeddings and external corpora to expand the context of each data instance. We demonstrate significant improvements over the previous state-of-the-art, achieving the best results reported to date on the SemEval-2013 WSI task.",<TITLE>A Sense-Topic Model for Word Sense Induction<TITLE>Word Sense Induction with Sense-Topic Modeling<TITLE>Word Sense Induction with Sense-Topic Models<TITLE>Word Sense Induction with Sense-Topic Model<TITLE>Unsupervised Word Sense Induction,<TITLE>Joint Sense-Topic Modeling for Unsupervised Word Sense Induction with Latent Variables and Neural Word Embedd<TITLE>Joint Sense-Topic Modeling for Unsupervised Word Sense Induction with Latent Variables and Neural Word Representations<TITLE>Joint Sense-Topic Modeling for Unsupervised Word Sense Induction with Latent Variables and Neural Word Representation<TITLE>A Sense-Topic Model for Word Sense Induction with Latent Variables and Neural Word Embeddings in Contextual Context<TITLE>Joint Sense-Topic Modeling for Unsupervised Word Sense Induction with Latent Variables and External Contextual Information,<TITLE>A Joint Latent Variable Model for Unsupervised Word Sense Induction<TITLE>A Sense-Topic Model for Unsupervised Word Sense Induction.<TITLE>A Sense-Topic Model for Unsupervised Word Sense Induction<TITLE>A Joint Latent Variable Model for Word Sense Induction<TITLE>A Sense-Topic Model for Word Sense Induction,<TITLE>A Sense-topic Model for Word Sensitive Induction<TITLE>A Sense-topic Model for Word Sensitivity Induction<TITLE>A Sense-topic Model for Word Sentiment Induction<TITLE>Unsupervised Word Sentiment Induction with Sense-topic Model<TITLE>A Sense-topic Model for Word Sentence Induction,<TITLE> Unsupervised Sense-Topic Modeling for Word Sense Induction<TITLE> A Sense Topic Model for Word Sense Induction<TITLE> Unsupervised Word Sense Induction with Latent Variable Models<TITLE> Unsupervised Word Sense Induction with Latent Topic Models<TITLE> Unsupervised Sense-Topic Modeling for Word Senses,<TITLE>A Sense-topic Model for Word Sense Induction<TITLE>Unsupervised Word Sense Induction with Sense Topic Models<TITLE>Improving Word Sense Induction with Sense-topic Models<TITLE>Word Sense Induction with Sense-topic Models<TITLE>Word Sense Induction with Sense Topic Models
18,Point Process Modelling of Rumour Dynamics in Social Media,"Rumours on social media exhibit complex temporal patterns. This paper develops a model of rumour prevalence using a point process, namely a log-Gaussian Cox process, to infer an underlying continuous temporal probabilistic model of post frequencies. To generalize over different rumours, we present a multi-task learning method parametrized by the text in posts which allows data statistics to be shared between groups of similar rumours. Our experiments demonstrate that our model outperforms several strong baseline methods for rumour frequency prediction evaluated on tweets from the 2014 Ferguson riots.",<TITLE>A Probabilistic Model of rumour prevalence based on a Point Process<TITLE>A Probabilistic Model of rumour prevalence in social media<TITLE>A Probabilistic Model of Rumour prevalence in Social Media<TITLE>A Probabilistic Model of rumour prevalence on Twitter<TITLE>A Probabilistic Model of rumour prevalence in Twitter,<TITLE>A Probabilistic Model of Rumour Frequency Prediction Using Log-Gaussian Cox Processes and Multi-Task Learning in Social<TITLE>A Multi-Task Learning Model of Rumour Prevalence using Log-Gaussian Cox Processes and its Application to Predict<TITLE>A Probabilistic Model of Rumour Frequency Prediction Using Log-Gaussian Cox Processes and Multi-Task Learning for Social<TITLE>A Multi-Task Learning Model of Rumour Prevalence using Log-Gaussian Cox Processes and its Application to Context<TITLE>A Probabilistic Model of Rumour Frequency Prediction Using Log-Gaussian Cox Processes and Multi-Task Learning for Twitter,<TITLE>A Log-Gaussian Cox Process Model of Rumour Frequency in Social Media Posts<TITLE>Rumour Frequency Prediction on Social Media with Log-Gaussian Cox Processes<TITLE>A Log-Gaussian Cox Process Model of Rumour Frequency on Social Media<TITLE>A Log-Gaussian Cox Process Model of Rumour Frequency in Social Media<TITLE>Rumour Frequency Prediction Using Log-Gaussian Cox Processes,<TITLE>A Multi-Task Learning Model of rumour prevalence on social media<TITLE>A Multi-Task Learning Model of rumour prevalence in social media<TITLE>A Multi-Task Learning Model for rumour prevalence on social media<TITLE>A Multi-Task Learning Model of Rumour Prevalence<TITLE>A Multi-Task Learning Model of rumour prevalence,<TITLE> Rumour Frequency Modeling Using Log-Gaussian Processes<TITLE> A Multi-Task Learning Method for Rumour Frequency Estimation<TITLE> A Multi-Task Model of Rumour Frequency Prediction<TITLE> A Multi-Task Model of Rumour Frequency<TITLE> Rumour Frequency Modeling with Log-Gaussian Cox Process,<TITLE>A Multi-Task Learning Approach to Predicting the Frequency of Rumours on Social Media<TITLE>A Multi-Task Learning Approach to Predicting the Frequency of Rumours in Social Media<TITLE>A Multi-Task Learning Approach to Predicting the Frequency of Rumours on Twitter<TITLE>A Log-Gaussian Cox Model for Predicting Rumours on Social Media<TITLE>A Log-Gaussian Cox Model for Predicting Rumours on Twitter
19,Beyond Disagreement-Based Agnostic Active Learning,"We study agnostic active learning, where the goal is to learn a classifier in a prespecified hypothesis class interactively with as few label queries as possible, while making no assumptions on the true function generating the labels. The main algorithm for this problem is disagreement-based active learning, which has a high label requirement. Thus a major challenge is to find an algorithm which achieves better label complexity, is consistent in an agnostic setting, and applies to general classification problems. In this paper, we provide such an algorithm. Our solution is based on two novel contributions; first, a reduction from consistent active learning to confidence-rated prediction with guaranteed error, and second, a novel confidence-rated predictor.",<TITLE>Agnostic Active Learning with Confidence-Ranking Prediction<TITLE>Agnostic Active Learning with Constraint-Ranking<TITLE>Agnostic Active Learning with No Label Constraints<TITLE>Agnostic Active Learning with Confidence-rated Prediction<TITLE>Consistent Agnostic Active Learning,<TITLE>Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Hypothesis<TITLE>Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Hypotheses<TITLE>Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Classification Algorithm<TITLE>Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Hypothese<TITLE>Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Hypotactic,<TITLE>Agnostic Active Learning with Confidence-rated Prediction<TITLE>Agnostic Active Learning with Confidence-Rated Prediction<TITLE>Agnostic Active Learning with Confidence-rated Prediction<TITLE>Agnostic Active Learning with Confidence-Rated Prediction<TITLE>Agnostic Active Learning with Confidence-rated Prediction,<TITLE>Agnostic Active Learning with Disagreement-Based Models<TITLE>Agnostic Active Learning with Disagreement-Based Modeling<TITLE>Agnostic Active Learning for Prespecified Hypothesis Classification<TITLE>Agnostic Active Learning for Prespecified Hypothese Classification<TITLE>Agnostic Active Learning,<TITLE> Agnostic Active Learning<TITLE> Agnostic Active Learning for General Classification<TITLE> Efficient Agnostic Active Learning<TITLE> Agnostic Active Learning with Confidence-Rated Prediction<TITLE> Agnostic Active Learning with Confidence-Based Prediction,<TITLE>A Consistent Active Learning Algorithm for Interactive Classification<TITLE>A Consistent Active Learning Algorithm with Guarantees<TITLE>Agnostic Active Learning for Interactive Classification<TITLE>Active Learning in Agnostic Context<TITLE>A Consistent Active Learning Algorithm
20,Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,"Deep reinforcement learning (RL) agents often fail to generalize to unseen environments (yet semantically similar to trained agents), particularly when they are trained on high-dimensional state spaces, such as images. In this paper, we propose a simple technique to improve a generalization ability of deep RL agents by introducing a randomized (convolutional) neural network that randomly perturbs input observations. It enables trained agents to adapt to new domains by learning robust features invariant across varied and randomized environments. Furthermore, we consider an inference method based on the Monte Carlo approximation to reduce the variance induced by this randomization. We demonstrate the superiority of our method across 2D CoinRun, 3D DeepMind Lab exploration and 3D robotics control tasks: it significantly outperforms various regularization and data augmentation methods for the same purpose. Code is available at github.com/pokaxpoka/netrand.",<TITLE>Randomization and Adaptation of Deep Reinforcement Learning<TITLE>Randomization of Deep Reinforcement Learning Agents<TITLE>Randomization for Deep Reinforcement Learning<TITLE>Randomization in Deep Reinforcement Learning<TITLE>Randomized Deep Reinforcement Learning,<TITLE>Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant Across Diverse and Randomized Environments<TITLE>Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant across Diverse and Randomized Environments<TITLE>Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant Across Dense and Randomized Environments<TITLE>Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant Across Diverse and Randomized Domains<TITLE>Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant Across Diverse and Randomized Data Aug,<TITLE>Randomized Deep Reinforcement Learning with Monte Carlo Inference<TITLE>Randomized Deep Reinforcement Learning with Monte Carlo Inference.<TITLE>Randomized Deep Reinforcement Learning with Monte Carlo Inference<TITLE>Randomized Deep Reinforcement Learning with Monte Carlo Inference<TITLE>Randomized Neural Network for Deep Reinforcement Learning,<TITLE>A Randomized Neural Network for Deep Reinforcement Learning<TITLE>A Randomized Network for Deep Reinforcement Learning<TITLE>Randomization of Deep Reinforcement Learning Agents<TITLE>Randomization of Deep Reinforcement Learning<TITLE>Randomized Deep Reinforcement Learning,<TITLE> Convolutional Neural Networks for Generalization in Deep Reinforcement Learning<TITLE> Randomized Reinforcement Learning with Convolutional Neural Networks<TITLE> Convolutional Neural Networks for Generalizing Deep Reinforcement Learning<TITLE> Randomized Convolutional Neural Networks for Generalization<TITLE> Convolutional Neural Networks for Generalization,<TITLE>Randomized Convolutional Neural Networks for Deep Reinforcement Learning<TITLE>Improving Deep Reinforcement Learning with Randomization and Monte Carlo<TITLE>Improving Deep Reinforcement Learning by Randomizing Observations<TITLE>Netrand: Randomized Convolutional Neural Networks<TITLE>Improving Deep Reinforcement Learning with Randomization
