,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
98,1.0,0.0,0.0,3.0,0.0,1.0,1.0
99,2.0,2.0,2.0,0.0,0.0,0.0,0.0
100,2.0,0.0,0.0,1.0,1.0,0.0,2.0
101,2.0,3.0,0.0,1.0,0.0,0.0,0.0
102,2.0,0.0,0.0,3.0,1.0,0.0,0.0
103,1.0,2.0,1.0,1.0,0.0,1.0,0.0
104,3.0,1.0,0.0,0.0,0.0,2.0,0.0
105,2.0,1.0,1.0,0.0,1.0,1.0,0.0
106,3.0,0.0,0.0,0.0,3.0,0.0,0.0
107,1.0,1.0,1.0,2.0,0.0,0.0,1.0
108,2.0,1.0,0.0,1.0,0.0,1.0,1.0
109,2.0,2.0,0.0,2.0,0.0,0.0,0.0
110,0.0,0.0,0.0,3.0,0.0,3.0,0.0
111,3.0,2.0,0.0,0.0,0.0,1.0,0.0
112,3.0,0.0,0.0,3.0,0.0,0.0,0.0
113,3.0,0.0,0.0,2.0,1.0,0.0,0.0
114,2.0,0.0,1.0,0.0,0.0,0.0,3.0
115,0.0,0.0,1.0,2.0,1.0,1.0,1.0
116,3.0,1.0,0.0,0.0,1.0,0.0,1.0
117,3.0,2.0,0.0,0.0,0.0,0.0,1.0
118,1.0,3.0,0.0,0.0,1.0,0.0,1.0
119,3.0,0.0,0.0,3.0,0.0,0.0,0.0
120,3.0,1.0,0.0,2.0,0.0,0.0,0.0
121,1.0,0.0,0.0,2.0,0.0,2.0,1.0
122,3.0,2.0,1.0,0.0,0.0,0.0,0.0
123,3.0,0.0,0.0,3.0,0.0,0.0,0.0
124,2.0,0.0,0.0,2.0,0.0,2.0,0.0
125,0.0,0.0,0.0,3.0,0.0,2.0,1.0
126,2.0,1.0,1.0,0.0,1.0,0.0,1.0
127,3.0,2.0,0.0,1.0,0.0,0.0,0.0
128,1.0,0.0,0.0,1.0,3.0,1.0,0.0
129,2.0,1.0,0.0,1.0,0.0,1.0,1.0
130,2.0,0.0,1.0,2.0,0.0,1.0,0.0
131,3.0,0.0,0.0,0.0,3.0,0.0,0.0
132,2.0,1.0,0.0,2.0,0.0,0.0,1.0
133,1.0,0.0,0.0,2.0,0.0,3.0,0.0
134,2.0,2.0,0.0,0.0,0.0,2.0,0.0
135,3.0,0.0,1.0,1.0,1.0,0.0,0.0
136,1.0,3.0,0.0,0.0,2.0,0.0,0.0
137,3.0,1.0,0.0,0.0,1.0,0.0,1.0
138,1.0,2.0,1.0,1.0,1.0,0.0,0.0
139,0.0,2.0,0.0,1.0,0.0,1.0,2.0
