,abstract,title,bart_base,bart_cnn,bart_xsum,t5,gpt2,pegasus_xsum
10,"In this paper, we propose to learn word embeddings based on the recent fixed-size ordinally forgetting encoding (FOFE) method, which can almost uniquely encode any variable-length sequence into a fixed-size representation. We use FOFE to fully encode the left and right context of each word in a corpus to construct a novel word-context matrix, which is further weighted and factorized using truncated SVD to generate low-dimension word embedding vectors. We evaluate this alternate method in encoding word-context statistics and show the new FOFE method has a notable effect on the resulting word embeddings. Experimental results on several popular word similarity tasks have demonstrated that the proposed method outperforms other SVD models that use canonical count based techniques to generate word context matrices.",Word Embeddings based on Fixed-Size Ordinally Forgetting Encoding<original>,<TITLE>Learning Word Embeddings Based on Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings with Ordinally Forgetting Encoding.<TITLE>Learning Word Embeddings with Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings by Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings using Ordinally Forgetting Encoding<bart_base>,<TITLE>FOFE: Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding and Untruncated SVD<TITLE>FOFE: Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding for Improved Word Similarity Tasks<TITLE>FOFE: Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding of Word Context Matrices for Improved<TITLE>FOFE: Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding of Word Context Matrices for Word<TITLE>FOFE: Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding and Untruncated SVM<bart_cnn>,<TITLE>Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally Forgetting Encoding Method<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally Forgetting Encoding<bart_xsum>,<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally forgetting Encoding<TITLE>Learning Word Embeddings using Fixed-Size Ordinally forgetting Encoding Method<TITLE>Learning Word Embeddings using Fixed-Size Ordinally forgetting Encoding<TITLE>Learning Word Embeddings from Fixed-Size Ordinally forgetting Encoding<TITLE>Learning Word Embeddings via Fixed-Size Ordinally forgetting Encoding<t5_small>,<TITLE> Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding<TITLE> Word Embeddings with Fixed-Size Ordinally Forgetting Encoding<TITLE> Word Embedding with Fixed-Size Ordinally Forgetting Encoding<TITLE> Learning Word Embeddings from Fixed-Size Ordinally Forgetting Encoding<TITLE> Word Embeddings Based on Fixed-Size Ordinally Forgetting Encoding<gpt2>,<TITLE>Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Parser<TITLE>Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Annotation<TITLE>Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Encoding<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally Forgetting Annotation Method<TITLE>Learning Word Embeddings Using Fixed-Size Ordinally Forgetting Parser<pegasus_xsum>
11,"This study aims at identifying when an event written in text occurs. In particular, we classify a sentence for an event into four time-slots; morning, daytime, evening, and night. To realize our goal, we focus on expressions associated with time-slot (time-associated words). However, listing up all the time-associated words is impractical, because there are numerous time-associated expressions. We therefore use a semi-supervised learning method, the Naïve Bayes classifier backed up with the Expectation Maximization algorithm, in order to iteratively extract time-associated words while improving the classifier. We also propose to use Support Vector Machines to filter out noisy instances that indicates no specific time period. As a result of experiments, the proposed method achieved 0.864 of accuracy and outperformed other methods.",Time Period Identification of Events in Text<original>,<TITLE>Identifying Time-Affected Words Using Naïve Bayes Classifiers<TITLE>Identifying Time-Affected Words Using Naïve Bayes Classifier<TITLE>Identifying Time-Affected Words in Text<TITLE>Identifying Time-Alassociated Words in Text<TITLE>Identifying Time-Aware Words in Text<bart_base>,<TITLE>Semi-supervised Learning for Time-Associative Event Classification using Naïve Bayes Classifier and Expectation Maximization<TITLE>Semi-supervised Learning for Time-Associative Event Recognition Using Naïve Bayes Classifier and Expectation Maxim<TITLE>Semi-supervised Learning for Time-Associative Event Recognition using Naïve Bayes Classifier and Expectation Maxim<TITLE>Semi-supervised Learning for Time-Associative Event Recognition Using Naïve Bayes Classifier and Support Vector Machines<TITLE>Semi-supervised Learning for Time-Associative Event Classification using Naïve Bayes Classifier and Support Vector Machines.<bart_cnn>,<TITLE>Semi-supervised Learning of Time-Slots for Event Detection in Text<TITLE>Semi-Supervised Learning of Time-Slots for Event Detection in Text<TITLE>Semi-supervised Learning of Time-Slots for Event Detection in Text<TITLE>Semi-supervised Learning of Time-Slots for Event Detection<TITLE>Semi-Supervised Learning of Time-Slots for Event Detection<bart_xsum>,<TITLE>A Semi-Supervised Learning Method for Identifying Time-Slot Events<TITLE>A Semi-Supervised Learning Method for Identifying Time-Slots<TITLE>A Semi-Supervised Learning Approach to Time-Slot Detection<TITLE>A Semi-Supervised Learning Approach to Identifying Time-Slots<TITLE>A Semi-Supervised Learning Approach to Identifying Time-Slot Events<t5_small>,<TITLE> Naive Bayes Classifier for Time-Slots<TITLE> Naive Bayes Classifier for Time-Aware Event Detection<TITLE> Semi-Supervised Time-Slots for Event Detection<TITLE> Naive Bayes Classifier for Event Detection<TITLE> Semi-Supervised Learning of Time-Aware Event Detection<gpt2>,<TITLE>Time-Slave Event Classification Using Expectation Maximization<TITLE>A Semi-Supervised Learning Method for Event Classification<TITLE>Identifying Time-Slots in Text<TITLE>Identifying When an Event Takes place<TITLE>Identifying When Events occur<pegasus_xsum>
12,"Recent work has improved our ability to detect linguistic knowledge in word representations. However, current methods for detecting syntactic knowledge do not test whether syntax trees are represented in their entirety. In this work, we propose a structural probe, which evaluates whether syntax trees are embedded in a linear transformation of a neural network's word representation space. The probe identifies a linear transformation under which squared L2 distance encodes the distance between words in the parse tree, and one in which squared L2 norm encodes depth in the parse tree. Using our probe, we show that such transformations exist for both ELMo and BERT but not in baselines, providing evidence that entire syntax trees are embedded implicitly in deep models' vector geometry.",A Structural Probe for Finding Syntax in Word Representations<original>,<TITLE>Detecting Syntactic Knowledge in Neural Network Word Representations<TITLE>A Structural Investigation of Syntactic Knowledge in Neural Networks<TITLE>A Structural Exploration of Syntactic Knowledge in Neural Networks<TITLE>A Structural probe of syntax trees in neural networks<TITLE>Detecting Syntactic Knowledge in Neural Networks<bart_base>,<TITLE>A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Network's Word Represent<TITLE>A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Network Word Representations<TITLE>A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Word Representation Space<TITLE>A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Network Word Representation<TITLE>A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Word Representation Spaces<bart_cnn>,<TITLE>A Structural Probe for Detecting Syntactic Knowledge in Neural Word Representations<TITLE>A Structural Probe for Detecting Syntactic Knowledge in Word Representations<TITLE>A Structural Probe for Detecting Syntactic Knowledge in Neural Networks<TITLE>A Structural Probe for Detecting Syntactic Knowledge in Neural Networks<TITLE>Detecting Syntactic Knowledge in Neural Word Representations<bart_xsum>,<TITLE>Detecting Linguistic Knowledge in Word Representation Spaces<TITLE>Detecting Syntactic Knowledge in Word Representation Space<TITLE>Detecting Syntax Trees in Word Representation Spaces<TITLE>Detecting Syntactic Knowledge in Word Representations<TITLE>Detecting Linguistic Knowledge in Word Representations<t5_small>,<TITLE> A Structural Investigation of Syntax Trees in Neural Networks<TITLE> A Structural Investigation of Syntax Trees<TITLE> A Structural Exploration of Syntax Trees<TITLE> A Structural Exploration of Neural Networks for Syntactic Knowledge Detection<TITLE> A Structural Exploration of Syntax Trees in Neural Networks<gpt2>,<TITLE>A Structural Investigation of Syntax in Neural Word Representations<TITLE>A Structural Investigation of Syntax Trees in Deep Neural Networks<TITLE>A Structural Investigation of Syntax Trees in Neural Networks<TITLE>A Structural Investigation of Syntax in Neural Networks<TITLE>Structural Analysis of Syntax Trees in Neural Networks<pegasus_xsum>
13,"The aim of all Question Answering (QA) systems is to generalize to unseen questions. Current supervised methods are reliant on expensive data annotation. Moreover, such annotations can introduce unintended annotator bias, making systems focus more on the bias than the actual task. This work proposes Knowledge Triplet Learning (KTL), a self-supervised task over knowledge graphs. We propose heuristics to create synthetic graphs for commonsense and scientific knowledge. We propose using KTL to perform zero-shot question answering, and our experiments show considerable improvements over large pre-trained transformer language models.",Self-Supervised Knowledge Triplet Learning for Zero-Shot Question Answering<original>,<TITLE>Knowledge Triplet Learning for Question Answering over Knowledge Graphs<TITLE>Knowledge Triplet Learning over Knowledge Graphs for Question Answering<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering<TITLE>Knowledge Triplet Learning for Knowledge Graph Question Answering<bart_base>,<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering: Improving Answer Generation by Knowledge Graphs over Knowledge Graph<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering: Improving Knowledge Graph Generation and Zero-Shot Question An<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering: Improving Answer Generation by Knowledge Graphs and Scientific Knowledge<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering: Improving Knowledge Graph Generation and Zero-Shot Answer An<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering: Improving Answer Generation by Knowledge Graphs and Knowledge Graph<bart_cnn>,<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<bart_xsum>,<TITLE>Self-Supervised Question Answering with Knowledge Triplet Learning<TITLE>Knowledge Triplet Learning for Non-Shot Question Answering Systems<TITLE>Knowledge Triplet Learning for Non-Shot Question Answering<TITLE>Knowledge Triplet Learning for Quantitative Question Answering<TITLE>Knowledge Triplet Learning for Question Answering<t5_small>,<TITLE> Knowledge Triplet Learning for Commonsense Question Answering<TITLE> Knowledge Triplet Learning for Question Answering<TITLE> Knowledge Triplet Learning for Commonsense and Scientific Knowledge<TITLE> Knowledge Triplet Learning for Commonsense and Scientific Knowledge Graphs<TITLE> Knowledge Triplet Learning<gpt2>,<TITLE>Knowledge Triplet Learning for Zero-Shot Question Answering<TITLE>Knowledge Triplet Learning for Zero-shot Question Answering<TITLE>Zero-Shot Question Answering Using Knowledge Triplet Learning<TITLE>Zero-Shot Question Answering with Knowledge Triplet Learning<TITLE>Zero-Shot Question Answering using Knowledge Triplet Learning<pegasus_xsum>
14,"We explore the idea of creating a subjectivity classifier that uses lists of subjective nouns learned by bootstrapping algorithms. The goal of our research is to develop a system that can distinguish subjective sentences from objective sentences. First, we use two bootstrapping algorithms that exploit extraction patterns to learn sets of subjective nouns. Then we train a Naive Bayes classifier using the subjective nouns, discourse features, and subjectivity clues identified in prior research. The bootstrapping algorithms learned over 1000 subjective nouns, and the subjectivity classifier performed well, achieving 77% recall with 81% precision.",Learning subjective nouns using extraction pattern bootstrapping<original>,<TITLE>Subjectivity Classification Using Bootstrapping Algorithms and Discourse Features<TITLE>Bootstrapping Subjectivity Classifiers Using Subjective Nouns<TITLE>Subjectivity Classifier Using Bootstrapping Algorithms<TITLE>Subjectivity Classification Using Bootstrapping Algorithms<TITLE>A Bootstrapping Approach to Subjectivity Classification<bart_base>,<TITLE>Learning Subjectivity Classifiers from Subjective Nouns using Bootstrapping Algorithms and Extraction Patterns for Subjectivity<TITLE>Learning Subjectivity Classifiers from Subjective Nouns Using Bootstrapping Algorithms and Extraction Patterns for Subjectivity<TITLE>Learning Subjectivity Classifiers from Subjective Nouns using Bootstrapping Algorithms and Extraction Patterns for Sentence<TITLE>Learning Subjectivity Classifiers from Subjective Nouns Using Bootstrapping Algorithms and Extraction Patterns for Sentence<TITLE>Learning Subjectivity Classifiers from Subjective Nouns using Bootstrapping Algorithms and Extraction Patterns for Subject Classification<bart_cnn>,<TITLE>Learning Subjective Nouns for Subjectivity Classification<TITLE>Learning Subjective Nouns for Subjectivity Classifier<TITLE>Learning Subjective Nouns for Subjectivity Classification<TITLE>Learning Subjective Nouns for Subjectivity Classification<TITLE>Learning Subjective Nouns by Bootstrapping<bart_xsum>,<TITLE>Learning Subjectivity Classifiers with Bootstrapping Algorithms<TITLE>Subjectivity Classifiers with Bootstrapping Algorithms<TITLE>A Subjectivity Classifier for Bootstrapping Algorithms<TITLE>Learning Subjectivity Classifiers from Objection Nouns<TITLE>A Subjectivity Classifier with Subjectivity Nouns<t5_small>,<TITLE> Bootstrapping Subjectivity Classifiers<TITLE> Bootstrapping Objective Nouns for Subjectivity Classification<TITLE> Bootstrapping Subjectivity Classifiers for Bootstrapping<TITLE> Bootstrapping Subjectivity Classifiers Using Discourse Information<TITLE> Bootstrapping Subjectivity Classifiers Using Discourse Features<gpt2>,<TITLE>Exploiting Extraction Patterns to Learn Subjectivity for Classifying Sentences<TITLE>Exploiting Extraction Patterns to Learn Subjectivity from Nouns<TITLE>Exploiting Extraction Patterns to Learn Subjective Nouns<TITLE>Naive Bayes: A Subjectivity Classifier<TITLE>A Subjectivity Classifier Using Extraction Patterns<pegasus_xsum>
15,"We describe a novel method for efficiently eliciting scalar annotations for dataset construction and system quality estimation by human judgments. We contrast direct assessment (annotators assign scores to items directly), online pairwise ranking aggregation (scores derive from annotator comparison of items), and a hybrid approach (EASL: Efficient Annotation of Scalar Labels) proposed here. Our proposal leads to increased correlation with ground truth, at far greater annotator efficiency, suggesting this strategy as an improved mechanism for dataset creation and manual system evaluation.",Efficient Online Scalar Annotation with Bounded Support<original>,<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and Evaluation<TITLE>Efficient Annotation of Scalar Annotations for Dataset Creation and Evaluation<TITLE>Efficient Annotation of Scalar Annotations for Datasets and System Evaluation<TITLE>Efficient Annotation of Scalar Annotations for Datasets Construction and Evaluation<TITLE>Efficient Annotation of Scalar Annotations for Large-Scale System Evaluation<bart_base>,<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and System Quality Estimation by Human Judgments: A Hybrid<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and System Quality Estimation by Human Judgments via Direct Assessment<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and System Quality Estimation by Human Judgments using Direct Assessment<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and System Quality Estimation by Human Judgments using Efficient<TITLE>Efficient Annotation of Scalar Annotations for Dataset Construction and System Quality Estimation by Human Judgments using EAS<bart_cnn>,<TITLE>Efficient Annotation of Scalar Labels by Human Judgments<TITLE>Efficient Annotation of Scalar Labels: A Hybrid Approach<TITLE>Efficient Annotation of Scalar Labels by Human Judgments<TITLE>Efficient Annotation of Scalar Labels by Human Judgments<TITLE>Efficient Annotation of Scalar Labels<bart_xsum>,<TITLE>Efficient Annotation of Scalar Labels for Dataset Construction and System Quality Estimation<TITLE>Efficient Annotation of Scalar Labels for Dataset Generation and System Quality Estimation<TITLE>Efficient Annotation of Scalar Labels for Dataset Design and System Quality Estimation<TITLE>Efficient Annotation of Scalar Labels for Dataset Construction and Quality Estimation<TITLE>Efficient Scalar Annotation for Dataset Construction and System Quality Estimation<t5_small>,<TITLE> Efficient Annotation of Scalar Annotations for Dataset Construction<TITLE> Efficient Annotation of Scalar Annotations<TITLE> Scalar Annotations for Dataset Construction and Quality Estimation<TITLE> Automatically Evaluating Scalar Annotations for Dataset Construction<TITLE> Efficient Annotation of Scalar Annotations for Dataset Creation<gpt2>,<TITLE>Efficient Aggregation of Annotations for Dataset Construction and System Quality Estimation<TITLE>Efficient Aggregation of Human Judgments for Dataset Construction and System Quality Estimation<TITLE>Efficient Aggregation of Annotations for Dataset Construction and Manual System Evaluation<TITLE>Aggregation-Based Annotation for Dataset Construction and System Quality Estimation<TITLE>Efficient Aggregation of Human Judgments for Dataset Construction and Quality Estimation<pegasus_xsum>
16,"Relation extraction is a fundamental task in information extraction. Most existing methods have heavy reliance on annotations labeled by human experts, which are costly and time-consuming. To overcome this drawback, we propose a novel framework, REHession, to conduct relation extractor learning using annotations from heterogeneous information source, e.g., knowledge base and domain heuristics. These annotations, referred as heterogeneous supervision, often conflict with each other, which brings a new challenge to the original relation extraction task: how to infer the true label from noisy labels for a given instance. Identifying context information as the backbone of both relation extraction and true label discovery, we adopt embedding techniques to learn the distributed representations of context, which bridges all components with mutual enhancement in an iterative fashion. Extensive experimental results demonstrate the superiority of REHession over the state-of-the-art.",Heterogeneous Supervision for Relation Extraction: A Representation Learning Approach<original>,<TITLE>Relation Extraction from Heterogeneous Information Sources Using Embedding Techniques<TITLE>Relation Extraction from Heterogeneous Information Sources with Embedding Techniques<TITLE>Relation Extraction from Heterogeneous Annotations with Embedding Techniques<TITLE>Relation Extraction with Hierarchical Supervision<TITLE>Relation Extraction Using Hierarchical Supervision<bart_base>,<TITLE>Learning Distributed Representations of Context for Relation Extraction from Heterogeneous Information Sources with REHession and Mutual Enhancement<TITLE>Learning Distributed Representations of Context for Relation Extraction from Heterogeneous Information Sources using REHession and Mutual Enhancement<TITLE>Learning Distributed Representations of Context for Relation Extraction with Heterogeneous Supervision from Noisy Labels using RE<TITLE>Learning Distributed Representations of Context for Relation Extraction with Heterogeneous Supervision from Noisy Labels and Mutual<TITLE>Learning Distributed Representations of Context for Relation Extraction with Heterogeneous Supervision from Noisy Labels and Rel<bart_cnn>,<TITLE>Relation Extraction with Heterogeneous Supervision<TITLE>Relation Extraction with Heterogeneous Supervision<TITLE>Relation Extraction with Heterogeneous Annotations<TITLE>Relation Extraction with Heterogeneous Supervision<TITLE>Relation Extraction with Heterogeneous Supervision<bart_xsum>,<TITLE>Relation Extraction with Annotations from Heterogeneous Information Sources<TITLE>Relation Extraction with Annotations from Heterogeneous Information Source<TITLE>Relation Extraction with Annotations from Heterogeneous Information<TITLE>Relation Extraction with Heterogeneous Annotations<TITLE>REHession: A Framework for Relation Extraction<t5_small>,<TITLE> Semi-supervised Relation Extraction with Heterogeneous Supervision<TITLE> REHession: Relation Extraction with Heterogeneous Supervision<TITLE> Semi-supervised Relation Extraction via Hierarchical Embedding<TITLE> Semi-supervised Relation Extraction with Hierarchical Supervision<TITLE> Semi-supervised Relation Extraction Using Hierarchical Representations<gpt2>,<TITLE>REHession: Relation Extraction with Heterogeneous Supervision<TITLE>REHession: Relation Extraction Using Heterogeneous Supervision<TITLE>Relation Extraction from Heterogeneous Information Sources with Embeddings<TITLE>Relation Extraction with Heterogeneous Supervision<TITLE>Relation Extraction Using Heterogeneous Supervision<pegasus_xsum>
17,"Simultaneous translation has many important application scenarios and attracts much attention from both academia and industry recently. Most existing frameworks, however, have difficulties in balancing between the translation quality and latency, i.e., the decoding policy is usually either too aggressive or too conservative. We propose an opportunistic decoding technique with timely correction ability, which always (over-)generates a certain mount of extra words at each step to keep the audience on track with the latest information. At the same time, it also corrects, in a timely fashion, the mistakes in the former overgenerated words when observing more source context to ensure high translation quality. Experiments show our technique achieves substantial reduction in latency and up to +3.1 increase in BLEU, with revision rate under 8% in Chinese-to-English and English-to-Chinese translation.",Opportunistic Decoding with Timely Correction for Simultaneous Translation<original>,<TITLE>Correcting Over-Generated Words for Simultaneous Translation<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation<TITLE>Optimistic Decoding for Simultaneous Translation with Updates<TITLE>Optimistic Decoding for Simultaneous Translation<TITLE>An opportunistic decoding technique for Simultaneous translation<bart_base>,<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation to Chinese-to-Chinese Translation with Timing-Dependent Correction<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation to Chinese-to-Chinese Translation with Timing-Timing-<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation to Chinese-to-Chinese Statistical Machine Translation with Timing-D<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation to Chinese-to-Chinese Machine Translation with Timing-Dependent<TITLE>An Opportunistic Decoding Technique for Simultaneous Translation to Chinese-to-Chinese Statistical Machine Translation with Timing-Tim<bart_cnn>,<TITLE>Accelerated Decoding for Simultaneous Translation with Over-Generation Correction<TITLE>Accelerated Decoding for Simultaneous Translation with Over-Generating Words<TITLE>Accelerated Decoding for Simultaneous Translation with Over-Generation Correction<TITLE>Accelerated Decoding for Simultaneous Statistical Machine Translation<TITLE>Accelerated Decoding for Simultaneous Translation<bart_xsum>,<TITLE>Opportunistic Decoding for Simultaneous Translation<TITLE>Opportunistic decoding for Simultaneous Translation<TITLE>Opportunistic Decoding for Simultaneous Translation<TITLE>Opportunistic Decoding with Timely Correction Caption<TITLE>Opportunistic Decoding with Timely Correction Ability<t5_small>,<TITLE> Acquatic Decoding for Simultaneous Translation<TITLE> Acquatic Decoding for Fast and Accurate Simultaneous Translation<TITLE> Acquatic Decoding for Fast and Accurate Synchronous Translation<TITLE> Acquatic Decoding for Opportunistic Translation<TITLE> Acquisition of Opportunistic Decoding for Fast and Accurate Translation<gpt2>,<TITLE>Opportunistic Decoding for Simultaneous Translation<TITLE>Opportunistic Correction for Simultaneous Machine Translation<TITLE>Opportunistic Correction for Simultaneous Translation<TITLE>Timing-Aware Decoding for Simultaneous Translation<TITLE>Timing Correction for Simultaneous Translation<pegasus_xsum>
18,"We analyze the convergence of the averaged stochastic gradient descent for overparameterized two-layer neural networks for regression problems. It was recently found that a neural tangent kernel (NTK) plays an important role in showing the global convergence of gradient-based methods under the NTK regime, where the learning dynamics for overparameterized neural networks can be almost characterized by that for the associated reproducing kernel Hilbert space (RKHS). However, there is still room for a convergence rate analysis in the NTK regime. In this study, we show that the averaged stochastic gradient descent can achieve the minimax optimal convergence rate, with the global convergence guarantee, by exploiting the complexities of the target function and the RKHS associated with the NTK. Moreover, we show that the target function specified by the NTK of a ReLU network can be learned at the optimal convergence rate through a smooth approximation of a ReLU network under certain conditions.",Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime<original>,<TITLE>Optimal Convergence of a Neural Tangent Kernel for Overparameterized Neural Networks<TITLE>Optimal Convergence of Neural Tangent Kernels for Overparameterized Neural Networks<TITLE>A Neural Tangent Kernel for Overparameterized Two-layer Neural Networks<TITLE>A Neural Tangent Kernel for Overparameterized Two-Layer Neural Networks<TITLE>A Neural Tangent Kernel for Overparameterized Neural Networks<bart_base>,<TITLE>On the Convergence of Overparameterized Two-Layer Neural Networks with a Neural Tangent Kernel Hilbert Space for Regression<TITLE>On the Convergence of Overparameterized Two-Layer Neural Networks for Regression Problems: Theory and Algorithms.<TITLE>On the Convergence of Overparameterized Two-Layer Neural Networks with a Neural Tangent Kernel Hilbert Space for Learning Dynamics<TITLE>On the Convergence of Overparameterized Two-Layer Neural Networks for Regression Problems: Theory and Algorithms <TITLE>On the Convergence of Overparameterized Two-Layer Neural Networks for Regression Problems: Theory and Algorithms with<bart_cnn>,<TITLE>Convergence of Overparameterized Neural Networks with Neural Tangent Kernels<TITLE>Convergence of Overparameterized Neural Networks with Neural Tangent Kernel<TITLE>Convergence of Overparameterized Neural Networks for Regression Problems<TITLE>On the Convergence of Overparameterized Neural Networks for Regression Problems<TITLE>On the Convergence of Overparameterized Neural Networks<bart_xsum>,<TITLE>Convergence of Averaged Stochastic Gradient Descent for Overparameterized Neural Networks<TITLE>The Convergence of the Averaged Stochastic Gradient Descent for Regression Problems<TITLE>Convergence of the Averaged Stochastic Gradient Descent for Regression Problems<TITLE>Convergence of Averaged Stochastic Gradient Descent for Regression Problems<TITLE>Convergence of the Averaged Stochastic Gradient Descent for Regression<t5_small>,<TITLE> On the Convergence of Overparameterized Two-Layer Neural Networks<TITLE> Convergence of Overparameterized Two-Layer Neural Networks<TITLE> On the Convergence of Overparameterized Neural Networks<TITLE> Convergence of Overparameterized Neural Networks<TITLE> On the Convergence of Overparameterized Two-layer Neural Networks<gpt2>,<TITLE>A Convergence Analysis of the Averaged Gradient Descent for ReLU Neural Networks<TITLE>Minimax Optimal Convergence of the Averaged Gradient Descent for ReLU Networks<TITLE>A Convergence Analysis of the Averaged Gradient Descent for ReLU Networks<TITLE>Convergence of the Averaged Gradient Descent for Overparameterized Neural Networks<TITLE>Convergence of the Averaged Gradient Descent for ReLU Networks<pegasus_xsum>
19,"Recent advances in stochastic gradient variational inference have made it possible to perform variational Bayesian inference with posterior approximations containing auxiliary random variables. This enables us to explore a new synthesis of variational inference and Monte Carlo methods where we incorporate one or more steps of MCMC into our variational approximation. By doing so we obtain a rich class of inference algorithms bridging the gap between variational methods and MCMC, and offering the best of both worlds: fast posterior approximation through the maximization of an explicit objective, with the option of trading off additional computation for additional accuracy. We describe the theoretical foundations that make this possible and show some promising first results.",Markov Chain Monte Carlo and Variational Inference: Bridging the Gap<original>,<TITLE>Stochastic Gradient Variational Inference with Monte Carlo Methods<TITLE>Stochastic Gradient Variational Inference and Monte Carlo Methods<TITLE>Stochastic Gradient Variational Inference via Monte Carlo Methods<TITLE>Stochastic Gradient Variational Inference via Monte Carlo<TITLE>Fast Monte Carlo Methods for Variational Bayesian Inference<bart_base>,<TITLE>Auxiliary Random Variational Bayesian Inference with Fast Posterior Approximation and Monte-Carlo Maximization.<TITLE>Auxiliary Random Variational Bayesian Inference with Fast Posterior Approximation and Monte-Carlo Optimization.<TITLE>Auxiliary Random Variational Bayesian Inference with Fast Posterior Approximation and Monte-Carlo Maximization of<TITLE>Auxiliary Random Variational Bayesian Inference with Fast Posterior Approximation and Monte-Carlo MCMC.<TITLE>Auxiliary Random Variational Bayesian Inference with Fast Posterior Approximation and Monte-Carlo Maximization <bart_cnn>,<TITLE>Variational Bayesian Inference with Auxiliary Random Variables<TITLE>Variational Bayesian Inference with Monte Carlo MCMC<TITLE>Variational Bayesian Inference with Auxiliary Random Variables<TITLE>Variational Bayesian Inference with Monte Carlo Methods<TITLE>Variational Bayesian Inference with Monte Carlo Methods<bart_xsum>,<TITLE>Variational Bayesian Inference with Posterior Approximations<TITLE>Bayesian Variational Inference with Posterior Approximations<TITLE>Variational Bayesian Inference with Posterior Approximation<TITLE>Variational Bayesian Inference with posterior approximations<TITLE>Variational Bayesian inference with posterior approximations<t5_small>,<TITLE> Variational Bayesian Inference with Auxiliary Random Variables<TITLE> Variational Bayesian Inference via MCMC<TITLE> Stochastic Gradient Variational Inference<TITLE> Variational Bayesian Inference with Posterior Approximation<TITLE> Variational Bayesian Inference<gpt2>,<TITLE>Bridging the Gap between Variational Inference and MCMC<TITLE>Bridging the Gap between Variational Inference and Monte Carlo<TITLE>Variational Bayesian Inference with Auxiliary Random Variables<TITLE>Variational Inference and Monte Carlo Methods<TITLE>Variational Inference and Monte Carlo<pegasus_xsum>
