,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
20,Semantic parsing of speech using grammars learned with weak supervision,"Semantic grammars can be applied both as a language model for a speech recognizer and for semantic parsing, e.g. in order to map the output of a speech recognizer into formal meaning representations. Semantic speech recognition grammars are, however, typically created manually or learned in a supervised fashion, requiring extensive manual effort in both cases. Aiming to reduce this effort, in this paper we investigate the induction of semantic speech recognition grammars under weak supervision. We present empirical results, indicating that the induced grammars support semantic parsing of speech with a rather low loss in performance when compared to parsing of input without recognition errors. Further, we show improved parsing performance compared to applying n-gram models as language models and demonstrate how our semantic speech recognition grammars can be enhanced by weights based on occurrence frequencies, yielding an improvement in parsing performance over applying unweighted grammars.",<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammars<TITLE>Weakly Supervised Induction of Semantic Speech Recognizer Grammars<TITLE>Induction of Semantic Speech Recognition Grammars under Weak Supervision<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision<TITLE>Weakly Supervised Induction of Semantic Speech Recognizers,<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing of Speech<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing in N<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing with N<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing of Sp<TITLE>Inducing Semantic Speech Recognition Grammars under Weak Supervision for Improved Parsing and Semantic Parsing in a,<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammars<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammars<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammars<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammars<TITLE>Weakly Supervised Semantic Speech Recognition and Parsing,<TITLE>Learning Semantic Speech Recognition Grammars under weak supervision<TITLE>Induction of Semantic Speech Recognition Grammars<TITLE>Semantic Speech Recognition Grammars under weak supervision<TITLE>Learning Semantic Speech Recognition Grammars<TITLE>Semantic Speech Recognition Grammars,<TITLE> Improving Semantic Speech Recognition Grammars with Weak Supervision<TITLE> Improving Semantic Speech Recognition Grammar Induction<TITLE> Improving Semantic Speech Recognition Grammars via Weak Supervision<TITLE> Improving Semantic Speech Recognition Grammars using Weak Supervision<TITLE> Inducing Semantic Speech Recognition Grammars,<TITLE>Weakly Supervised Induction of Semantic Speech Recognition Grammar<TITLE>Weakly-Supervised Induction of Semantic Speech Recognition Grammar<TITLE>Induction of Semantic Speech Recognition Grammars under Weak Supervision<TITLE>Weakly Supervised Semantic Speech Recognition Grammar Induction<TITLE>Induction of Semantic Speech Recognition Grammars
23,How Can Deep Rectifier Networks Achieve Linear Separability and Preserve Distances?,"This paper investigates how hidden layers of deep rectifier networks are capable of transforming two or more pattern sets to be linearly separable while preserving the distances with a guaranteed degree, and proves the universal classification power of such distance preserving rectifier networks. Through the nearly isometric nonlinear transformation in the hidden layers, the margin of the linear separating plane in the output layer and the margin of the nonlinear separating boundary in the original data space can be closely related so that the maximum margin classification in the input data space can be achieved approximately via the maximum margin linear classifiers in the output layer. The generalization performance of such distance preserving deep rectifier neural networks can be well justified by the distance-preserving properties of their hidden layers and the maximum margin property of the linear classifiers in the output layer.",<TITLE>Hidden layers of deep rectifier networks are linearly separable<TITLE>The Universal Classification Power of Deep Rectifier Neural Networks<TITLE>The Universal Classification Power of Deep Rectifier Networks<TITLE>Distance preserving Deep rectifier networks<TITLE>Distance preserving Deep Rectifier Networks,<TITLE>Distance preserving deep rectifier neural networks with hidden layers and maximum margin in the output layer of linear separable subspace via linear<TITLE>Distance preserving deep rectifier neural networks with hidden layers and maximum margin in the output layer of linear separable subspace using linear<TITLE>Distance preserving deep rectifier neural networks with hidden layers and maximum margin in the output layer of linear separable subspace via is<TITLE>Distance preserving deep rectifier neural networks with hidden layers and maximum margin in the output layer of linear separable subspace via non<TITLE>Distance preserving deep rectifier neural networks with hidden layers and maximum margin in the output layer of linear separable subspace via error,<TITLE>Hidden layers of deep rectifier neural networks can transform pattern sets into linearly separable units<TITLE>Hidden layers of deep rectifier neural networks can transform pattern sets into linearly separable ones<TITLE>Hidden layers of deep rectifier neural networks can transform pattern sets to linearly separable ones<TITLE>Hidden layers of deep rectifier neural networks can transform pattern sets to linearly separable patterns<TITLE>Hidden layers of deep rectifier neural networks are capable of linearly separating pattern sets.,<TITLE>Distance Preserving Deep Korrelier Neural Networks<TITLE>Distance preserving Deep Korrelier Neural Networks<TITLE>Distance preserving deep rectifier neural networks with hidden layers<TITLE>Distance preserving deep rectifier neural networks<TITLE>Distance preserving deep rectifier networks,<TITLE> Distance preserving deep rectifier networks<TITLE> On the Generalization Power of Distance Preserving Deep Rectifier Networks<TITLE> On the Generalization Power of Deep Rectifier Networks<TITLE> On the Generalization Power of Deep Separable Pattern Sets<TITLE> On the Generalization Power of Distance Preserving Deep RNNs,<TITLE>Universal Distance Preserving of Deep Neural Networks<TITLE>Universal Distance Preserving in Deep Neural Networks<TITLE>Universal Classification Power of Distance Preserving Networks<TITLE>Distance Preserving in Deep Neural Networks<TITLE>Distance Preserving of Deep Neural Networks
25,Structured Learning for Cell Tracking,We study the problem of learning to track a large quantity of homogeneous objects such as cell tracking in cell culture study and developmental biology. Reliable cell tracking in time-lapse microscopic image sequences is important for modern biomedical research. Existing cell tracking methods are usually kept simple and use only a small number of features to allow for manual parameter tweaking or grid search. We propose a structured learning approach that allows to learn optimum parameters automatically from a training set. This allows for the use of a richer set of features which in turn affords improved tracking compared to recently reported methods on two public benchmark sequences.,<TITLE>A Structured Learning Approach for Reliable Cell Tracking in Microscapes<TITLE>A Structured Learning Approach to Reliable Cell Tracking in Microscapes<TITLE>Structured Learning for Reliable Cell Tracking in Microscopic Images<TITLE>Structured Learning for Reliable Cell Tracking in Microscapes<TITLE>A Structured Learning Approach to Cell Tracking,<TITLE>Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes: A Structured Learning Approach<TITLE>Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes: A Structured Approach.<TITLE>Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes using Structured Random Fields.<TITLE>Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes: a Structured Approach.<TITLE>Structured Learning for Reliable Cell Tracking in Microscaling Time-Lapse Microscapes using Structured Random Fields and,<TITLE>Structured Learning for Cell Tracking in Time-Lapse Microscopic Images<TITLE>Structured Learning for Cell Tracking in Time-lapse Microscopic Images<TITLE>Structured Learning for Cell Tracking in Time-Lapse Microscopic Images<TITLE>Structured Learning for Cell Tracking in Time-lapse Microscopic Images<TITLE>Structured Learning for Large-Scale Cell Tracking,<TITLE>Learning to Track a Large Quantity of Homogeneous Objects<TITLE>Learning to Track a Large Quantum of Homogeneous Objects<TITLE>Learning to Track Homogeneous Objects in Cell Culture and Development Biology<TITLE>Learning to Track Homogeneous Objects in Cell Culture and Evolution Biology<TITLE>Learning to Track Homogeneous Objects via Structured Learning,<TITLE> Structured Learning for Cell Tracking in Time-Lapse Microarray Sequences<TITLE> Learning to Track Homogeneous Objects in Time-Lapse Microarray Sequences<TITLE> Learning to Track Homogeneous Objects with Structured Learning<TITLE> Learning to Track Homogeneous Objects in Microarray Sequences<TITLE> Structured Learning for Modeling Homogeneous Object Tracking,<TITLE>Learning to Track Cells in Time-lapse Microarrays<TITLE>Learning to Track Cells in Microscopic Time-lapse Images<TITLE>Learning to Track Cells in Microarray Time-lapses<TITLE>Learning to Track Cells in Microscopic Time-lapses<TITLE>Learning to Track Cells in Time-lapse Microarray Images
26,Automatically Extracting Challenge Sets for Non-Local Phenomena in Neural Machine Translation,"We show that the state-of-the-art Transformer MT model is not biased towards monotonic reordering (unlike previous recurrent neural network models), but that nevertheless, long-distance dependencies remain a challenge for the model. Since most dependencies are short-distance, common evaluation metrics will be little influenced by how well systems perform on them. We therefore propose an automatic approach for extracting challenge sets rich with long-distance dependencies, and argue that evaluation using this methodology provides a complementary perspective on system performance. To support our claim, we compile challenge sets for English-German and German-English, which are much larger than any previously released challenge set for MT. The extracted sets are large enough to allow reliable automatic evaluation, which makes the proposed approach a scalable and practical solution for evaluating MT performance on the long-tail of syntactic phenomena.",<TITLE>Towards Automatic Evaluation of Machine Translation Systems<TITLE>Compiling Challenge Sets for Machine Translation Evaluation<TITLE>Compiling Challenge Sets for Neural Machine Translation<TITLE>Automatic Evaluation of Machine Translation Challenge Sets<TITLE>Compiling Challenge Sets for Machine Translation,<TITLE>Evaluating Machine Translation with Long-distance Dependencies: An Automatic Approach to the State-of-the-Art Trans<TITLE>Evaluating Machine Translation with Long-distance Dependencies: A Scalable Approach to the State-of-the-Art<TITLE>Evaluating Machine Translation with Long-distance Dependencies: An Automatic Approach to the State-of-the-art Trans<TITLE>Evaluating Machine Translation with Long-distance Dependencies: An Automatic Approach to the State-of-the-Art Transformers<TITLE>Evaluating Machine Translation with Long-distance Dependencies: An Automatic Approach to the State-of-the-Art MT,<TITLE>Automatic Evaluation of Transformer MT on the Long-Tail of Syntactic Phenomena<TITLE>Evaluating Transformer MT on the Long Tail of Syntactic Phenomena Using Challenge Sets<TITLE>Evaluating Transformer MT on the Long Tail of Syntactic Phenomena with Challenge Sets<TITLE>Automatic Evaluation of Transformer MT on the Long-tail of Syntactic Phenomena<TITLE>Automatic Evaluation of Transformer MT on Long-Tail Syntactic Phenomena,<TITLE>Extraction of Challenge Sets with Long-Distance Dependencies<TITLE>Extraction of Long-Distance Dependencies for Transformer MT<TITLE>Evaluating Long-Distance Dependencies for Transformer MT<TITLE>Automatic Extraction of Challenge Sets for Transformer MT<TITLE>Extraction of Challenge Sets for Transformer MT,<TITLE> Extracting Challenge Sets Rich with Long-Distance Dependencies<TITLE> Extracting Challenges Rich with Long-Distance Dependencies<TITLE> Extracting Challenges for Neural Machine Translation<TITLE> Extracting Challenge Sets Rich with Short-Distance Dependencies<TITLE> Extracting Challenge Sets from Recurrent Neural Networks,<TITLE>Automatic Evaluation of Long-Tailed Syntactic Challenges for Transformer MT<TITLE>Automatic Evaluation of Transformer MT with Long-distance Dependencies<TITLE>Automatic Evaluation of Long-distance Dependencies in Transformer MT<TITLE>Automatic Evaluation of Long-distance Dependencies for Transformer MT<TITLE>Automatic Evaluation of Transformer MT
27,Humor as Circuits in Semantic Networks,"This work presents a first step to a general implementation of the Semantic-Script Theory of Humor (SSTH). Of the scarce amount of research in computational humor, no research had focused on humor generation beyond simple puns and punning riddles. We propose an algorithm for mining simple humorous scripts from a semantic network (ConceptNet) by specifically searching for dual scripts that jointly maximize overlap and incongruity metrics in line with Raskin’s Semantic-Script Theory of Humor. Initial results show that a more relaxed constraint of this form is capable of generating humor of deeper semantic content than wordplay riddles. We evaluate the said metrics through a user-assessed quality of the generated two-liners.",<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor<TITLE>Mining Simple Humor with Semantic-Script Theory of Humor<TITLE>Mining Simple Humor from Semantic-Script Theory of Humor<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor.<TITLE>Mining Simple Humor with Semantic-Script Theory of Humor.,<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor with ConceptNet and Raskin’s Sem<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor via ConceptNet and Raskin’s Sem<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor via ConceptNet and Raskin's Semantic Network<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor from ConceptNet: A Relaxed Two-Line Approach<TITLE>Mining Simple Humor for Semantic-Script Theory of Humor with ConceptNet and Raskin's Semantic Network,<TITLE>Mining Semantic Scripts for Humor Generation<TITLE>Mining Semantic Scripts for Humor Generation<TITLE>Mining Semantic Scripts for Comedy Generation<TITLE>Mining Semantic Scripts for Humor Generation<TITLE>Mining Semantic Scripts for Humor Generation,<TITLE>Semantic-Script Theory of Humor: Exploiting Simple Humor from ConceptNet<TITLE>A Semantic-Script Theory of Humor Approach to Humor Generating<TITLE>A Semantic-Script Theory of Humor Approach to Humor Generation<TITLE>A Semantic-Script Theory of Humor Approach<TITLE>Semantic-Script Theory of Humor,<TITLE> Computational Linguistic Humor Mining<TITLE> Computational Linguistic Humor Mining from ConceptNet<TITLE> Semantic-Script Mining for Humor Generation<TITLE> Computational Linguistic Humor Mining Using ConceptNet<TITLE> Semantic-Script Mining for Generating Humor,<TITLE>Generating Two-liners from a Semantic Network<TITLE>Generating Two-liners from Semantic Networks<TITLE>Generating Two-liners from Semantic Content<TITLE>Mining Humor from a Semantic Network<TITLE>Generating Humor from Semantic Content
29,A Discriminative Training Procedure for Continuous Translation Models,"Continuous-space translation models have recently emerged as extremely powerful ways to boost the performance of existing translation systems. A simple, yet effective way to integrate such models in inference is to use them in an N -best rescoring step. In this paper, we focus on this scenario and show that the performance gains in rescoring can be greatly increased when the neural network is trained jointly with all the other model parameters, using an appropriate objective function. Our approach is validated on two domains, where it outperforms strong baselines.",<TITLE>Neural Rescoring for Continuous-Space Translation<TITLE>Rescoring Neural Networks for Continuous-Space Translation<TITLE>Rescoring Neural Network for Continuous-Space Translation<TITLE>Neural Rescoring for Continuous-space Translation<TITLE>Rescoring Neural Machine Translation Models,<TITLE>Rescoring Neural Networks for Continuous-Space Translation Modeling: An N-best Resoring Algorithm and an Objective Function<TITLE>Rescoring Neural Networks for Continuous-Space Translation Modeling: An N-best Resoring Algorithm and an N-<TITLE>Rescoring Neural Networks for Continuous-Space Translation Modeling: An N-best Rescoring Algorithm and an Objective<TITLE>Rescoring Neural Networks for Continuous-Space Translation Modeling: An N-best Rescoring Algorithm and a Joint<TITLE>Rescoring Neural Networks for Continuous-Space Translation Modeling: An N-best Rescoring Algorithm and an N,<TITLE>Rescoring with Joint Neural Networks for Continuous-Space Translation Models<TITLE>Rescoring in Continuous-Space Translation Models with Joint Inference<TITLE>Rescoring in Continuous-Space Translation Models with Joint Neural Networks<TITLE>Rescoring with Joint Neural Networks for Continuous-Space Translation<TITLE>Rescoring with Neural Networks for Continuous-Space Translation Models,<TITLE>Continuous-Space Translation Models in Inference<TITLE>Continuous-Space Translation Models with Objective Function<TITLE>Continuous-Space Translation Models for Inference<TITLE>Continuous-Sspace Translation Models<TITLE>Continuous-Space Translation Models,<TITLE> Jointly Training Neural Networks for Continuous-Space Translation<TITLE> Training Neural Networks for Continuous-Space Translation<TITLE> Joint Training of Neural Networks for Continuous-Space Translation<TITLE> Joint Training of Neural Network Models for Continuous-Space Translation<TITLE> Joint Training of Continuous-Space Translation Models,<TITLE>Jointly Training Neural Networks for Rescoring in Continuous-Space Translation<TITLE>Jointly Training Neural Networks for Improved Rescoring of Machine Translation Models<TITLE>Joint Training of Continuous-Space Translation Models for Improved Rescoring<TITLE>Joint Training of Continuous-Space Neural Networks for Improved Rescoring<TITLE>Jointly Training Neural Networks for Improved Rescoring
30,Interpreting and Boosting Dropout from a Game-Theoretic View,"This paper aims to understand and improve the utility of the dropout operation from the perspective of game-theoretic interactions. We prove that dropout can suppress the strength of interactions between input variables of deep neural networks (DNNs). The theoretic proof is also verified by various experiments. Furthermore, we find that such interactions were strongly related to the over-fitting problem in deep learning. Thus, the utility of dropout can be regarded as decreasing interactions to alleviate the significance of over-fitting. Based on this understanding, we propose an interaction loss to further improve the utility of dropout. Experimental results have shown that the interaction loss can effectively improve the utility of dropout and boost the performance of DNNs.",<TITLE>The Utility of Dropout in Deep Neural Networks via Interaction Loss<TITLE>Improving the Utility of Dropout in Deep Neural Networks<TITLE>Improved the Utility of Dropout in Deep Neural Networks<TITLE>The Utility of Dropout in Deep Neural Networks<TITLE>The Utility of Dropout for Deep Neural Networks,<TITLE>Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for Over-fitting DNN<TITLE>Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for DNNs using Drop<TITLE>Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for DNNs Using Drop<TITLE>Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for Over-fitting Games in<TITLE>Understanding and Improving the Utility of Deep Neural Networks with Game-Theoretic Interaction Loss for DNNs using an,<TITLE>The Utility of Dropout in Deep Neural Networks via Game-Theoretic Interactions<TITLE>The Utility of Dropout in Deep Neural Networks via Game-theoretic Interactions<TITLE>The Utility of Dropout in Deep Learning from the Perspective of Game Theory<TITLE>The Utility of Dropout in Deep Neural Networks via Interaction Loss<TITLE>The Utility of Dropout and Interaction Loss in Deep Neural Networks,<TITLE>Learning the Utility of Dropout from Game-Theoretic Interactions<TITLE>Game-Theoretic Interaction Loss for Deep Neural Networks<TITLE>Learning the Utility of Dropout from Game-Theoretic interactions<TITLE>Game-Theoretic Interaction Loss in Deep Learning<TITLE>Game-Theoretic Interaction Loss for Deep Learning,<TITLE> On the Utility of Dropout in Deep Learning<TITLE> On the Utility of Dropout for Deep Neural Networks<TITLE> On the Utility of Dropout in Deep Neural Networks<TITLE> Improving the Utility of Dropout in Deep Learning<TITLE> Improving the Utility of Dropout for Deep Learning,<TITLE>Understanding and Improving the Utility of Dropout in Deep Neural Networks<TITLE>Understanding and Improving the Utility of Deep Neural Networks via Interaction Loss<TITLE>Understanding and Improving the Utility of Deep Neural Network via Interaction Loss<TITLE>Understanding and Improving the Utility of Dropout in Deep Learning<TITLE>Understanding and Improving the Utility of Deep Neural Network dropout
31,LexSemTm: A Semantic Dataset Based on All-words Unsupervised Sense Distribution Learning,"There has recently been a lot of interest in unsupervised methods for learning sense distributions, particularly in applications where sense distinctions are needed. This paper analyses a state-of-the-art method for sense distribution learning, and optimises it for application to the entire vocabulary of a given language. The optimised method is then used to produce LEXSEMTM: a sense frequency and semantic dataset of unprecedented size, spanning approximately 88% of polysemous, English simplex lemmas, which is released as a public resource to the community. Finally, the quality of this data is investigated, and the LEXSEMTM sense distributions are shown to be superior to those based on the WORDNET first sense for lemmas missing from SEMCOR, and at least on par with SEMCOR-based distributions otherwise.",<TITLE>LEXSEMTM: An Unsupervised Learning of Sense Distributions<TITLE>LEXSEMTM: An Unsupervised Method for Sense Distribution Learning<TITLE>LEXSEMTM: An Unsupervised Method for Learning Sense Distribution<TITLE>LEXSEMTM: A Large Scale Corpus for Sense Distribution Learning<TITLE>Unsupervised Sense Distribution Learning with LEXSEMTM,<TITLE>Optimising Sense Distributions Using LEXSEMTM: An Empirical Study of the State-of-the<TITLE>Optimising Sense Distributions Using LEXSEMTM: An Empirical Study on the State-of-the<TITLE>Optimising Sense Distributions with LEXSEMTM: An Empirical Study of the State-of-the<TITLE>Optimising Sense Distributions with LEXSEMTM: An Empirical Study on the State-of-the<TITLE>Optimising Sense Distributions Using LEXSEMTM: An Empirical Analysis of the State-of-the,<TITLE>LEXSEMTM: A Large-Scale Unsupervised Learning of Sense Distributions for English<TITLE>LEXSEMTM: A Large-Scale Semantic Dataset for Sense Distribution Learning<TITLE>LEXSEMTM: A Large-Scale Unsupervised Learning of Sense Distributions for English<TITLE>LEXSEMTM: A Large-Scale Unsupervised Learning Method for Sense Distributions<TITLE>LEXSEMTM: A Large-Scale Unsupervised Learning Method for Sense Distributions,<TITLE>LEXSEMTM: An Unsupervised Method for Learning Sense Distributions<TITLE>LEXSEMTM: An Unsupervised Method for Learning Sentiment Distribution<TITLE>LEXSEMTM: Unsupervised Learning of Sentiment Distributions<TITLE>LEXSEMTM: Unsupervised Learning of Sense Distributions<TITLE>Unsupervised Learning of Sense Distributions,<TITLE> Unsupervised Learning of Sense Distributions<TITLE> Unsupervised Sense Distribution Learning<TITLE> Unsupervised Learning of Word Sense Distributions<TITLE> Unsupervised Sense Distribution Learning Using Semantic Datasets<TITLE> Unsupervised Learning of Sense Distributions Using WordNet,<TITLE>LEXSEMTM: A Sense Distribution Model for the Entire Vocabulary of a Language<TITLE>LEXSEMTM: A Sense Distribution Dataset for the Entire Vocabulary of a Language<TITLE>LEXSEMTM: A Sense Distribution Dataset for Unsupervised Learning<TITLE>LEXSEMTM: A Sense Distribution Dataset of Unsupervised Learning<TITLE>LEXSEMTM: A Sense Distribution Dataset for English
35,Cross-domain Semantic Parsing via Paraphrasing,"Existing studies on semantic parsing mainly focus on the in-domain setting. We formulate cross-domain semantic parsing as a domain adaptation problem: train a semantic parser on some source domains and then adapt it to the target domain. Due to the diversity of logical forms in different domains, this problem presents unique and intriguing challenges. By converting logical forms into canonical utterances in natural language, we reduce semantic parsing to paraphrasing, and develop an attentive sequence-to-sequence paraphrase model that is general and flexible to adapt to different domains. We discover two problems, small micro variance and large macro variance, of pre-trained word embeddings that hinder their direct use in neural networks, and propose standardization techniques as a remedy. On the popular Overnight dataset, which contains eight domains, we show that both cross-domain training and standardized pre-trained word embeddings can bring significant improvement.",<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing with Syntactic Paraphrase<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation Problem<TITLE>Cross-domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing with Domain Adaptation,<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation with Paraphrasing and Pre-Trained Word Embeddings<TITLE>Cross-Domain Semantic Parsing as a Domain Adaptation Problem with Paraphrasing and Pre-Trained Word Emb<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation in Natural Language using Paraphrasing and Pre-Trained Word<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation with Paraphrasing and Pre-Trained Word Embedding<TITLE>Cross-Domain Semantic Parsing as a Domain Adaptation Problem with Paraphrasing and Pre-Trained Word Represent,<TITLE>Cross-Domain Semantic Parsing with Paraphrasing<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation,<TITLE>Cross-Domain Semantic Parsing as a Domain adaptation problem<TITLE>Cross-Domain Semantic Parsing as a Domain adaptation Problem<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation Problem<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation<TITLE>Cross-Domain Semantic Parsing for Domain Adaptation,<TITLE> Cross-Domain Semantic Parsing as a Domain Adaptation Problem<TITLE> Domain Adaptation for Cross-Domain Semantic Parsing<TITLE> Cross-Domain Semantic Parsing with Neural Networks<TITLE> Cross-Domain Semantic Parsing as a Domain Adaptation Task<TITLE> Cross-Domain Semantic Parsing with Adaptive Neural Networks,<TITLE>Cross-Domain Semantic Parsing with Pre-trained Word Embedding<TITLE>Cross-Domain Semantic Parsing as a Domain Adaptation Problem<TITLE>Cross-Domain Semantic Parsing via Paraphrasing<TITLE>Cross-Domain Semantic Parsing with Paraphrasing<TITLE>Cross-Domain Semantic Parsing as Domain Adaptation
40,Synchronous Tree Adjoining Machine Translation,"Tree Adjoining Grammars have well-known advantages, but are typically considered too difficult for practical systems. We demonstrate that, when done right, adjoining improves translation quality without becoming computationally intractable. Using adjoining to model optionality allows general translation patterns to be learned without the clutter of endless variations of optional material. The appropriate modifiers can later be spliced in as needed. In this paper, we describe a novel method for learning a type of Synchronous Tree Adjoining Grammar and associated probabilities from aligned tree/string training data. We introduce a method of converting these grammars to a weakly equivalent tree transducer for decoding. Finally, we show that adjoining results in an end-to-end improvement of +0.8 BLEU over a baseline statistical syntax-based MTmodel on a large-scale Arabic/EnglishMT task.",<TITLE>Acquiring Synchronous Tree Adjoining Grammars with Application to Machine Translation<TITLE>Acquiring Synchronous Tree Adjoining Grammars for Statistical Machine Translation<TITLE>Acquiring Synchronous Tree Adjoining Grammars for Machine Translation<TITLE>Acquisition of Synchronous Tree Adjoining Grammars<TITLE>Acquiring Synchronous Tree Adjoining Grammars,<TITLE>Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding Arabic-to-English<TITLE>Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding Arabic-English Machine Translation<TITLE>Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding Arabic-to-Tree<TITLE>Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding and Decoding in Machine<TITLE>Learning Tree Adjoining Grammars from Aligned Tree/String Training Data with Application to Decoding Arabic-to-Translation,<TITLE>Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation<TITLE>Learning Synchronous Tree Adjoining Grammars for Machine Translation<TITLE>Learning Synchronous Tree Adjoining Grammars for Statistical MT<TITLE>Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation<TITLE>Learning Synchronous Tree Adjoining Grammars for Machine Translation,<TITLE>A Synchronous Tree Adjoining Grammar with Adjoining<TITLE>Learning Synchronous Tree Adjoining Grammars and associated Probabilities<TITLE>Learning Synchronous Tree Adjoining Grammars<TITLE>A Synchronous Tree Adjoining Grammar<TITLE>Tree Adjoining Grammars,<TITLE> Improving Syntax-Based Machine Translation with Aligned Tree Adjoining Grammars<TITLE> Improving Syntax-Based Statistical Machine Translation with Aligned Tree Adjoining Grammar<TITLE> Improving Syntax-Based Machine Translation with Aligned Tree Adjoining Grammar<TITLE> Improving Syntax-Based Statistical Machine Translation with Alignments<TITLE> Improving Syntax-Based Statistical Machine Translation by Splitting Alignments,<TITLE>Learning Synchronous Tree Adjoining Grammars for Statistical Machine Translation<TITLE>Learning Synchronous Tree Adjoining Grammars with Model optionality<TITLE>Learning Synchronous Tree Adjoining Grammars for Machine Translation<TITLE>Learning Synchronous Tree Adjoining Grammars for Machine Translation Models<TITLE>Synchronous Tree Adjoining Grammars for Statistical Machine Translation
